ID	trialnr	pic_nr	x_traj	y_traj	traj_timesteps
NadEb	1	16	513	566	  397.24
NadEb	1	16	514	558	  406.20
NadEb	1	16	514	547	  413.11
NadEb	1	16	514	535	  422.15
NadEb	1	16	514	521	  428.91
NadEb	1	16	513	507	  437.01
NadEb	1	16	509	492	  446.14
NadEb	1	16	504	464	  467.11
NadEb	1	16	497	442	  476.34
NadEb	1	16	496	432	  485.09
NadEb	1	16	495	425	  493.55
NadEb	1	16	494	418	  500.39
NadEb	1	16	493	411	  509.55
NadEb	1	16	492	405	  516.43
NadEb	1	16	492	400	  525.53
NadEb	1	16	491	396	  532.90
NadEb	1	16	491	394	  541.96
NadEb	1	16	491	392	  548.74
NadEb	1	16	491	391	  557.89
NadEb	1	16	491	389	  564.81
NadEb	1	16	491	388	  581.32
NadEb	1	16	491	387	  605.07
NadEb	1	16	491	386	  613.85
NadEb	1	16	491	385	  629.44
NadEb	1	16	491	384	  637.15
NadEb	1	16	491	383	  646.15
NadEb	1	16	491	382	  660.55
NadEb	1	16	492	382	  741.96
NadEb	1	16	494	382	  748.55
NadEb	1	16	495	381	  756.22
NadEb	1	16	497	381	  765.37
NadEb	1	16	498	380	  773.12
NadEb	1	16	500	379	  789.72
NadEb	1	16	501	379	  797.03
NadEb	1	16	501	378	  804.36
NadEb	1	16	501	377	  821.08
NadEb	1	16	501	376	  836.48
NadEb	1	16	502	376	  845.50
NadEb	1	16	502	375	  867.52
NadEb	1	16	502	373	  876.64
NadEb	1	16	502	372	  901.23
NadEb	1	16	502	370	  924.19
NadEb	1	16	502	369	  948.51
NadEb	1	16	502	368	  969.71
NadEb	1	16	502	367	  974.16
NadEb	1	16	502	366	 1005.55
NadEb	1	16	503	366	 1054.09
NadEb	2	9	516	565	  320.14
NadEb	2	9	517	561	  326.87
NadEb	2	9	517	552	  336.37
NadEb	2	9	518	544	  344.04
NadEb	2	9	518	536	  351.00
NadEb	2	9	519	526	  359.72
NadEb	2	9	520	516	  366.88
NadEb	2	9	520	506	  375.55
NadEb	2	9	521	495	  382.75
NadEb	2	9	522	482	  391.95
NadEb	2	9	525	469	  398.94
NadEb	2	9	526	454	  407.77
NadEb	2	9	527	439	  414.71
NadEb	2	9	529	423	  423.96
NadEb	2	9	530	410	  430.91
NadEb	2	9	531	396	  439.18
NadEb	2	9	533	384	  448.43
NadEb	2	9	533	371	  456.00
NadEb	2	9	534	360	  463.26
NadEb	2	9	534	350	  472.34
NadEb	2	9	535	341	  479.40
NadEb	2	9	535	334	  486.96
NadEb	2	9	536	327	  496.17
NadEb	2	9	536	322	  503.82
NadEb	2	9	537	317	  510.73
NadEb	2	9	537	313	  520.61
NadEb	2	9	537	311	  528.59
NadEb	2	9	537	309	  535.00
NadEb	2	9	537	307	  543.75
NadEb	2	9	537	306	  553.39
NadEb	2	9	536	307	  598.83
NadEb	2	9	535	309	  607.31
NadEb	2	9	533	311	  615.92
NadEb	2	9	533	314	  622.65
NadEb	2	9	530	317	  631.21
NadEb	2	9	529	319	  640.25
NadEb	2	9	527	323	  646.97
NadEb	2	9	526	325	  655.92
NadEb	2	9	525	327	  662.62
NadEb	2	9	523	329	  672.54
NadEb	2	9	522	331	  679.30
NadEb	2	9	520	332	  687.90
NadEb	2	9	520	335	  696.34
NadEb	2	9	519	335	  703.88
NadEb	2	9	518	337	  712.81
NadEb	2	9	518	338	  735.76
NadEb	2	9	517	340	  760.27
NadEb	2	9	516	341	  784.05
NadEb	2	9	516	342	  800.28
NadEb	2	9	515	344	  822.65
NadEb	2	9	514	344	  839.90
NadEb	2	9	514	345	  848.73
NadEb	2	9	513	345	  856.28
NadEb	2	9	512	347	  862.98
NadEb	2	9	510	349	  879.17
NadEb	2	9	508	350	  888.38
NadEb	2	9	507	352	  897.52
NadEb	2	9	506	353	  904.50
NadEb	2	9	506	354	  911.24
NadEb	2	9	506	355	  960.12
NadEb	2	9	505	356	  983.34
NadEb	2	9	504	356	 1006.73
NadEb	3	4	513	567	  273.18
NadEb	3	4	513	562	  281.66
NadEb	3	4	514	557	  288.05
NadEb	3	4	515	550	  302.96
NadEb	3	4	515	543	  308.28
NadEb	3	4	515	536	  312.90
NadEb	3	4	515	526	  321.91
NadEb	3	4	515	517	  328.61
NadEb	3	4	513	507	  336.19
NadEb	3	4	511	496	  345.41
NadEb	3	4	510	485	  352.63
NadEb	3	4	509	474	  361.53
NadEb	3	4	508	463	  368.27
NadEb	3	4	507	453	  377.49
NadEb	3	4	505	442	  384.26
NadEb	3	4	504	430	  393.16
NadEb	3	4	504	419	  399.71
NadEb	3	4	502	408	  408.86
NadEb	3	4	501	397	  417.52
NadEb	3	4	500	387	  424.25
NadEb	3	4	500	376	  433.20
