ID	trialnr	pic_nr	x_traj	y_traj	traj_timesteps
Nr1	1	36	531	561	    0.78
Nr1	1	36	537	552	    7.80
Nr1	1	36	542	544	   16.56
Nr1	1	36	549	536	   25.06
Nr1	1	36	553	527	   31.51
Nr1	1	36	560	518	   39.99
Nr1	1	36	564	510	   48.64
Nr1	1	36	570	502	   57.47
Nr1	1	36	573	495	   63.97
Nr1	1	36	577	487	   72.93
Nr1	1	36	579	480	   79.68
Nr1	1	36	582	474	   88.54
Nr1	1	36	584	470	   97.31
Nr1	1	36	587	466	  103.95
Nr1	1	36	588	462	  112.70
Nr1	1	36	589	459	  121.51
Nr1	1	36	590	457	  127.99
Nr1	1	36	590	456	  137.42
Nr1	1	36	590	455	  152.47
Nr1	1	36	590	453	  216.26
Nr1	1	36	590	451	  224.89
Nr1	1	36	590	450	  231.45
Nr1	1	36	590	447	  240.25
Nr1	1	36	590	444	  248.90
Nr1	1	36	588	440	  255.50
Nr1	1	36	586	435	  264.34
Nr1	1	36	584	431	  273.32
Nr1	1	36	579	427	  279.80
Nr1	1	36	574	422	  288.35
Nr1	1	36	568	419	  296.96
Nr1	1	36	560	414	  305.42
Nr1	1	36	553	411	  311.89
Nr1	1	36	546	408	  321.29
Nr1	1	36	538	405	  327.75
Nr1	1	36	530	400	  336.35
Nr1	1	36	522	395	  344.98
Nr1	1	36	515	390	  351.40
Nr1	1	36	506	384	  360.00
Nr1	1	36	498	380	  369.36
Nr1	1	36	492	376	  375.83
Nr1	1	36	486	372	  384.45
Nr1	1	36	482	368	  392.94
Nr1	1	36	479	366	  399.42
Nr1	1	36	476	363	  407.91
Nr1	1	36	476	361	  416.52
Nr1	1	36	474	359	  425.10
Nr1	1	36	473	357	  431.70
Nr1	1	36	473	355	  440.65
Nr1	1	36	473	354	  449.23
Nr1	1	36	473	353	  455.58
Nr1	1	36	473	352	  464.37
Nr1	1	36	473	351	  471.60
Nr1	1	36	475	349	  480.24
Nr1	1	36	476	347	  488.72
Nr1	1	36	478	345	  497.32
Nr1	1	36	480	343	  503.60
Nr1	1	36	482	341	  512.20
Nr1	1	36	482	340	  520.81
Nr1	1	36	483	339	  536.42
Nr1	1	36	483	337	  551.58
Nr1	1	36	484	337	  569.55
Nr1	1	36	485	336	  585.16
Nr1	1	36	487	336	  631.46
Nr1	1	36	489	337	  648.31
Nr1	1	36	489	339	  657.18
Nr1	1	36	491	341	  664.08
Nr1	1	36	492	342	  672.55
Nr1	1	36	493	344	  681.37
Nr1	1	36	494	344	  687.74
Nr1	1	36	494	345	  696.37
Nr1	1	36	495	345	  703.54
Nr1	1	36	495	347	  720.91
Nr1	1	36	496	347	  753.23
Nr1	1	36	497	348	  775.51
Nr1	1	36	497	349	  793.01
Nr1	1	36	500	351	  832.44
Nr1	1	36	501	351	  857.14
Nr1	1	36	503	351	  888.88
Nr1	1	36	504	351	  924.17
Nr1	1	36	505	351	  951.52
Nr1	1	36	506	351	  960.71
Nr1	1	36	508	351	  969.53
Nr1	1	36	509	351	  976.15
Nr1	1	36	510	351	  984.90
Nr1	1	36	511	351	 1000.07
Nr1	2	22	514	569	  332.78
Nr1	2	22	514	565	  342.00
Nr1	2	22	514	561	  348.54
Nr1	2	22	514	554	  357.17
Nr1	2	22	514	544	  365.78
Nr1	2	22	515	522	  383.11
Nr1	2	22	516	509	  389.59
Nr1	2	22	519	495	  398.26
Nr1	2	22	521	478	  405.06
Nr1	2	22	523	460	  413.67
Nr1	2	22	525	439	  422.13
Nr1	2	22	527	419	  428.55
Nr1	2	22	529	398	  437.10
Nr1	2	22	531	377	  445.69
Nr1	2	22	532	357	  452.96
Nr1	2	22	534	334	  461.56
Nr1	2	22	534	314	  470.02
Nr1	2	22	534	297	  476.45
Nr1	2	22	534	281	  485.03
Nr1	2	22	534	267	  493.51
Nr1	2	22	534	256	  502.80
Nr1	2	22	534	247	  509.23
Nr1	2	22	535	240	  517.79
Nr1	2	22	536	235	  524.09
Nr1	2	22	537	234	  532.71
Nr1	2	22	537	233	  541.19
Nr1	2	22	538	233	  573.61
Nr1	2	22	538	236	  580.47
Nr1	2	22	538	239	  588.93
Nr1	2	22	538	241	  597.53
Nr1	2	22	538	243	  605.98
Nr1	2	22	536	245	  612.41
Nr1	2	22	536	248	  620.87
Nr1	2	22	535	251	  629.47
Nr1	2	22	533	253	  636.73
Nr1	2	22	533	255	  645.33
Nr1	2	22	532	258	  653.84
Nr1	2	22	531	260	  660.32
Nr1	2	22	530	262	  668.92
Nr1	2	22	530	263	  677.42
Nr1	2	22	529	266	  686.75
Nr1	2	22	528	268	  693.20
Nr1	2	22	527	270	  701.79
Nr1	2	22	527	272	  708.09
Nr1	2	22	526	275	  716.68
Nr1	2	22	524	277	  725.12
Nr1	2	22	524	279	  733.80
Nr1	2	22	523	282	  740.11
Nr1	2	22	522	284	  748.72
Nr1	2	22	522	285	  758.08
Nr1	2	22	521	286	  764.54
Nr1	2	22	521	288	  772.99
Nr1	2	22	520	291	  796.80
Nr1	2	22	519	292	  806.16
Nr1	2	22	519	294	  812.58
Nr1	2	22	519	295	  821.05
Nr1	2	22	519	296	  829.68
Nr1	2	22	519	297	  836.15
Nr1	2	22	519	298	  844.65
Nr1	2	22	519	299	  860.41
Nr1	2	22	519	301	  869.03
Nr1	2	22	518	303	  877.47
Nr1	2	22	517	306	  886.06
Nr1	2	22	515	312	  892.55
Nr1	2	22	512	318	  901.48
Nr1	2	22	510	325	  908.66
Nr1	2	22	508	334	  917.33
Nr1	2	22	505	342	  926.08
Nr1	2	22	503	352	  935.24
Nr1	2	22	499	361	  941.78
Nr1	2	22	497	368	  948.39
Nr1	2	22	496	375	  956.99
Nr1	2	22	496	378	  965.61
Nr1	2	22	496	380	  972.14
Nr1	2	22	497	382	  980.77
Nr1	2	22	499	382	 1005.44
Nr1	2	22	501	381	 1012.34
Nr1	2	22	502	379	 1021.19
Nr1	2	22	503	378	 1029.80
Nr1	2	22	506	375	 1036.23
Nr1	2	22	507	374	 1044.78
Nr1	2	22	510	371	 1053.42
Nr1	2	22	511	370	 1061.91
Nr1	2	22	513	369	 1068.33
Nr1	2	22	514	367	 1076.79
Nr1	2	22	515	366	 1085.38
Nr1	2	22	515	365	 1093.89
Nr1	2	22	516	365	 1100.32
Nr1	2	22	517	364	 1117.92
Nr1	2	22	518	363	 1132.90
Nr1	2	22	518	362	 1204.70
Nr1	2	22	517	362	 1349.82
Nr1	2	22	517	360	 1414.02
Nr1	2	22	517	359	 1437.06
Nr1	2	22	517	358	 1452.37
Nr1	3	41	516	569	  206.12
Nr1	3	41	518	563	  215.03
Nr1	3	41	519	556	  221.32
Nr1	3	41	519	549	  229.94
Nr1	3	41	520	539	  238.38
Nr1	3	41	521	529	  246.97
Nr1	3	41	522	521	  253.23
Nr1	3	41	523	511	  261.86
Nr1	3	41	523	501	  271.16
Nr1	3	41	523	490	  277.59
Nr1	3	41	523	479	  286.05
Nr1	3	41	523	468	  294.84
Nr1	3	41	523	456	  301.46
Nr1	3	41	523	445	  309.96
Nr1	3	41	522	434	  319.28
Nr1	3	41	521	423	  325.83
Nr1	3	41	521	414	  334.72
Nr1	3	41	521	405	  341.17
Nr1	3	41	521	398	  349.74
Nr1	3	41	521	390	  358.24
Nr1	3	41	521	384	  366.84
Nr1	3	41	521	372	  382.04
Nr1	3	41	520	366	  390.61
Nr1	3	41	518	361	  397.12
Nr1	3	41	515	358	  405.65
Nr1	3	41	514	355	  414.26
Nr1	3	41	512	354	  421.39
Nr1	3	41	512	353	  430.20
Nr1	3	41	510	353	  438.68
Nr1	3	41	508	353	  453.71
Nr1	3	41	508	354	  462.32
Nr1	3	41	507	357	  469.46
Nr1	3	41	506	357	  478.08
Nr1	3	41	506	358	  486.91
Nr1	3	41	506	357	  549.30
Nr1	3	41	507	356	  710.10
Nr1	3	41	509	355	  725.62
Nr1	3	41	510	354	  734.66
Nr1	3	41	511	354	  749.66
Nr1	4	2	485	570	  244.33
Nr1	4	2	484	560	  253.14
Nr1	4	2	483	552	  261.90
Nr1	4	2	483	542	  268.97
Nr1	4	2	481	531	  277.88
Nr1	4	2	479	520	  284.31
Nr1	4	2	474	502	  292.80
Nr1	4	2	470	480	  301.39
Nr1	4	2	467	454	  309.83
Nr1	4	2	464	433	  316.22
Nr1	4	2	464	408	  324.69
Nr1	4	2	464	382	  333.45
Nr1	4	2	469	338	  348.51
Nr1	4	2	470	324	  357.04
Nr1	4	2	471	315	  365.65
Nr1	4	2	473	306	  371.99
Nr1	4	2	476	299	  380.67
Nr1	4	2	479	293	  389.12
Nr1	4	2	482	288	  397.70
Nr1	4	2	485	284	  404.84
Nr1	4	2	487	282	  413.58
Nr1	4	2	489	281	  419.92
Nr1	4	2	490	279	  428.53
Nr1	4	2	491	279	  436.97
Nr1	4	2	492	279	  445.55
Nr1	4	2	493	279	  452.68
Nr1	4	2	494	279	  461.25
Nr1	4	2	495	279	  469.76
Nr1	4	2	497	281	  476.25
Nr1	4	2	499	283	  484.83
Nr1	4	2	501	285	  493.33
Nr1	4	2	502	288	  499.90
Nr1	4	2	505	292	  508.49
Nr1	4	2	507	297	  517.20
Nr1	4	2	508	301	  525.92
Nr1	4	2	509	306	  532.35
Nr1	4	2	509	310	  540.92
Nr1	4	2	509	314	  549.57
Nr1	4	2	509	320	  555.85
Nr1	4	2	509	325	  564.45
Nr1	4	2	509	328	  572.98
Nr1	4	2	509	331	  581.63
Nr1	4	2	509	333	  588.77
Nr1	4	2	509	334	  597.43
Nr1	4	2	508	336	  605.85
Nr1	4	2	507	338	  612.28
Nr1	4	2	505	339	  620.79
Nr1	4	2	504	341	  629.38
Nr1	4	2	503	343	  637.85
Nr1	4	2	502	344	  644.30
Nr1	4	2	502	346	  653.59
Nr1	4	2	502	347	  660.17
Nr1	5	17	515	567	  206.28
Nr1	5	17	516	557	  215.22
Nr1	5	17	518	545	  223.73
Nr1	5	17	520	532	  236.62
Nr1	5	17	524	520	  238.82
Nr1	5	17	527	508	  247.52
Nr1	5	17	529	499	  254.28
Nr1	5	17	532	490	  262.90
Nr1	5	17	534	479	  271.40
Nr1	5	17	537	468	  280.05
Nr1	5	17	539	458	  286.33
Nr1	5	17	542	447	  294.98
Nr1	5	17	543	433	  303.46
Nr1	5	17	544	420	  312.08
Nr1	5	17	545	406	  319.26
Nr1	5	17	545	394	  327.89
Nr1	5	17	546	384	  334.33
Nr1	5	17	546	379	  342.84
Nr1	5	17	546	374	  351.51
Nr1	5	17	546	371	  360.06
Nr1	5	17	546	369	  366.63
Nr1	5	17	545	367	  375.17
Nr1	5	17	545	366	  383.76
Nr1	5	17	545	364	  392.29
Nr1	5	17	545	363	  398.76
Nr1	5	17	545	362	  407.25
Nr1	5	17	545	359	  415.91
Nr1	5	17	545	357	  424.61
Nr1	5	17	545	354	  431.36
Nr1	5	17	545	352	  438.49
Nr1	5	17	545	350	  447.67
Nr1	5	17	545	348	  455.00
Nr1	5	17	544	348	  463.67
Nr1	5	17	543	347	  478.75
Nr1	5	17	542	347	  487.29
Nr1	5	17	540	347	  495.93
Nr1	5	17	539	347	  503.09
Nr1	5	17	538	347	  511.74
Nr1	5	17	535	347	  536.01
Nr1	5	17	533	349	  542.91
Nr1	5	17	531	350	  551.75
Nr1	5	17	529	351	  560.40
Nr1	5	17	528	353	  566.90
Nr1	5	17	526	354	  575.47
Nr1	5	17	524	355	  584.13
Nr1	5	17	523	356	  590.48
Nr1	5	17	522	357	  599.13
Nr1	5	17	521	358	  607.63
Nr1	5	17	520	358	  622.67
Nr1	5	17	519	359	  631.47
Nr1	5	17	518	359	  640.05
Nr1	5	17	517	359	  668.74
Nr1	5	17	515	359	  686.30
Nr1	5	17	513	358	  704.21
Nr1	5	17	512	356	  711.09
Nr1	5	17	510	355	  720.43
Nr1	5	17	509	354	  726.89
Nr1	5	17	507	353	  735.50
Nr1	5	17	507	351	  799.75
Nr1	6	14	516	566	   18.19
Nr1	6	14	516	563	   27.12
Nr1	6	14	516	559	   35.58
Nr1	6	14	516	556	   42.21
Nr1	6	14	517	552	   51.73
Nr1	6	14	517	548	   58.16
Nr1	6	14	517	545	   66.76
Nr1	6	14	518	541	   75.27
Nr1	6	14	518	537	   83.85
Nr1	6	14	518	534	   90.25
Nr1	6	14	519	530	   98.88
Nr1	6	14	519	527	  107.40
Nr1	6	14	520	524	  116.02
Nr1	6	14	521	519	  122.32
Nr1	6	14	521	515	  130.89
Nr1	6	14	521	509	  139.36
Nr1	6	14	521	504	  148.16
Nr1	6	14	521	498	  154.54
Nr1	6	14	521	493	  163.16
Nr1	6	14	522	486	  171.67
Nr1	6	14	522	475	  178.09
Nr1	6	14	522	464	  187.39
Nr1	6	14	523	454	  196.04
Nr1	6	14	524	443	  202.33
Nr1	6	14	524	434	  210.94
Nr1	6	14	525	424	  219.48
Nr1	6	14	525	416	  228.07
Nr1	6	14	527	407	  234.47
Nr1	6	14	527	400	  242.98
Nr1	6	14	528	393	  252.08
Nr1	6	14	529	389	  258.52
Nr1	6	14	529	385	  267.16
Nr1	6	14	530	382	  275.70
Nr1	6	14	530	379	  282.16
Nr1	6	14	530	375	  291.19
Nr1	6	14	530	372	  299.87
Nr1	6	14	530	370	  306.26
Nr1	6	14	530	368	  314.90
Nr1	6	14	531	365	  323.38
Nr1	6	14	531	363	  332.00
Nr1	6	14	532	358	  338.33
Nr1	6	14	533	355	  347.00
Nr1	6	14	533	352	  355.52
Nr1	6	14	534	349	  364.16
Nr1	6	14	534	348	  371.29
Nr1	6	14	534	346	  379.91
Nr1	6	14	534	345	  386.21
Nr1	6	14	534	344	  394.83
Nr1	6	14	533	344	  499.46
Nr1	6	14	532	345	  506.92
Nr1	6	14	531	346	  515.49
Nr1	6	14	529	348	  523.93
Nr1	6	14	528	350	  539.02
Nr1	6	14	527	350	  547.70
Nr1	6	14	527	351	  562.70
Nr1	7	32	509	567	   45.66
Nr1	7	32	509	559	   54.47
Nr1	7	32	507	549	   63.11
Nr1	7	32	505	538	   69.39
Nr1	7	32	504	525	   78.05
Nr1	7	32	503	511	   85.50
Nr1	7	32	502	497	   94.48
