ID	trialnr	pic_nr	x_traj	y_traj	traj_timesteps
JulSc	1	8	515	567	  265.30
JulSc	1	8	516	561	  274.26
JulSc	1	8	517	553	  280.85
JulSc	1	8	517	542	  290.20
JulSc	1	8	518	531	  296.67
JulSc	1	8	519	517	  305.16
JulSc	1	8	519	505	  313.82
JulSc	1	8	519	491	  322.44
JulSc	1	8	518	479	  331.40
JulSc	1	8	516	468	  337.98
JulSc	1	8	515	460	  344.52
JulSc	1	8	514	451	  353.09
JulSc	1	8	512	445	  362.05
JulSc	1	8	512	443	  369.39
JulSc	1	8	512	441	  378.05
JulSc	1	8	510	439	  448.88
JulSc	1	8	508	436	  457.84
JulSc	1	8	504	433	  464.84
JulSc	1	8	500	428	  473.76
JulSc	1	8	496	422	  480.22
JulSc	1	8	494	413	  488.76
JulSc	1	8	492	406	  497.38
JulSc	1	8	492	399	  505.90
JulSc	1	8	491	395	  512.34
JulSc	1	8	491	392	  521.76
JulSc	1	8	491	388	  528.23
JulSc	1	8	491	386	  536.72
JulSc	1	8	491	385	  545.33
JulSc	1	8	491	384	  553.84
JulSc	1	8	491	382	  560.34
JulSc	1	8	491	380	  569.93
JulSc	1	8	491	378	  576.51
JulSc	1	8	491	376	  585.19
JulSc	1	8	491	374	  594.12
JulSc	1	8	491	371	  600.58
JulSc	1	8	491	370	  617.92
JulSc	1	8	491	369	  841.00
JulSc	1	8	492	369	  856.27
JulSc	1	8	493	368	  865.50
JulSc	1	8	493	367	  880.56
JulSc	1	8	494	366	  889.82
JulSc	2	41	531	554	  436.02
JulSc	2	41	540	527	  442.79
JulSc	2	41	549	491	  451.52
JulSc	2	41	558	452	  460.05
JulSc	2	41	561	418	  466.50
JulSc	2	41	565	383	  475.32
JulSc	2	41	568	352	  482.04
JulSc	2	41	569	329	  491.48
JulSc	2	41	571	308	  497.99
JulSc	2	41	571	293	  507.93
JulSc	2	41	571	281	  514.49
JulSc	2	41	571	272	  523.10
JulSc	2	41	568	264	  531.76
JulSc	2	41	567	260	  538.80
JulSc	2	41	565	257	  547.49
JulSc	2	41	564	256	  556.05
JulSc	2	41	562	256	  587.73
JulSc	2	41	561	257	  594.68
JulSc	2	41	559	258	  603.30
JulSc	2	41	557	259	  612.06
JulSc	2	41	555	261	  618.54
JulSc	2	41	553	262	  627.09
JulSc	2	41	550	265	  635.76
JulSc	2	41	547	267	  642.13
JulSc	2	41	544	270	  650.77
JulSc	2	41	540	275	  659.23
JulSc	2	41	537	280	  667.92
JulSc	2	41	533	287	  674.27
JulSc	2	41	529	293	  682.89
JulSc	2	41	525	299	  691.39
JulSc	2	41	520	304	  700.04
JulSc	2	41	516	311	  706.37
JulSc	2	41	512	314	  715.06
JulSc	2	41	511	317	  723.64
JulSc	2	41	509	319	  730.09
JulSc	2	41	508	320	  739.47
JulSc	2	41	507	322	  754.52
JulSc	2	41	506	323	  770.47
JulSc	2	41	506	324	  787.75
JulSc	2	41	505	326	  803.90
JulSc	2	41	505	328	  810.47
JulSc	2	41	503	330	  819.11
JulSc	2	41	503	333	  827.67
JulSc	2	41	502	336	  834.10
JulSc	2	41	501	341	  842.60
JulSc	2	41	498	344	  851.27
JulSc	2	41	497	348	  859.83
JulSc	2	41	497	350	  866.31
JulSc	2	41	495	351	  875.27
JulSc	2	41	495	352	  883.90
JulSc	2	41	494	353	  914.05
JulSc	2	41	494	354	  954.88
JulSc	2	41	494	355	 1106.11
JulSc	3	38	526	563	  424.21
JulSc	3	38	528	552	  433.23
JulSc	3	38	530	541	  439.98
JulSc	3	38	532	530	  448.98
JulSc	3	38	535	517	  455.64
JulSc	3	38	538	505	  464.44
JulSc	3	38	540	494	  471.63
JulSc	3	38	540	483	  480.66
JulSc	3	38	540	474	  489.38
JulSc	3	38	540	465	  495.89
JulSc	3	38	540	457	  505.28
JulSc	3	38	538	451	  511.76
JulSc	3	38	535	445	  520.41
JulSc	3	38	533	442	  529.33
JulSc	3	38	531	440	  536.57
JulSc	3	38	529	438	  545.29
JulSc	3	38	526	436	  551.91
JulSc	3	38	524	435	  560.57
JulSc	3	38	522	433	  569.76
JulSc	3	38	520	431	  576.26
JulSc	3	38	518	427	  585.14
JulSc	3	38	516	424	  591.57
JulSc	3	38	514	419	  600.37
JulSc	3	38	512	416	  608.98
JulSc	3	38	510	410	  615.59
JulSc	3	38	508	404	  624.56
JulSc	3	38	506	399	  633.24
JulSc	3	38	504	394	  639.61
JulSc	3	38	504	390	  648.38
JulSc	3	38	504	387	  655.57
JulSc	3	38	504	386	  664.23
JulSc	3	38	504	385	  672.76
JulSc	3	38	504	383	  681.39
JulSc	3	38	504	382	  687.77
JulSc	3	38	504	381	  696.46
JulSc	3	38	504	379	  703.64
JulSc	3	38	504	377	  712.27
JulSc	3	38	504	375	  720.81
JulSc	3	38	504	373	  729.45
JulSc	3	38	504	370	  735.90
JulSc	3	38	504	366	  744.44
JulSc	3	38	504	362	  753.79
JulSc	3	38	504	360	  760.26
JulSc	3	38	504	359	  768.87
JulSc	3	38	504	358	  777.35
JulSc	3	38	504	357	  823.77
JulSc	4	15	546	564	  378.19
JulSc	4	15	548	553	  385.87
JulSc	4	15	548	542	  394.50
JulSc	4	15	548	534	  401.01
JulSc	4	15	548	527	  409.71
JulSc	4	15	548	519	  418.42
JulSc	4	15	545	512	  425.02
JulSc	4	15	543	504	  433.68
JulSc	4	15	540	498	  442.23
JulSc	4	15	537	491	  448.72
JulSc	4	15	534	485	  457.25
JulSc	4	15	530	480	  465.90
JulSc	4	15	527	473	  474.41
JulSc	4	15	522	465	  480.90
JulSc	4	15	519	457	  489.43
JulSc	4	15	514	450	  498.08
JulSc	4	15	511	443	  505.29
JulSc	4	15	508	436	  513.96
JulSc	4	15	505	427	  522.55
JulSc	4	15	502	420	  529.07
JulSc	4	15	499	411	  538.47
JulSc	4	15	496	403	  544.94
JulSc	4	15	494	396	  553.45
JulSc	4	15	492	390	  562.10
JulSc	4	15	492	384	  568.56
JulSc	4	15	491	378	  577.12
JulSc	4	15	490	374	  586.50
JulSc	4	15	490	370	  592.96
JulSc	4	15	490	365	  601.62
JulSc	4	15	489	361	  610.22
JulSc	4	15	489	358	  616.74
JulSc	4	15	489	354	  625.37
JulSc	4	15	490	349	  634.02
JulSc	4	15	491	347	  642.55
JulSc	4	15	491	344	  649.26
JulSc	4	15	492	342	  658.18
JulSc	4	15	492	341	  665.15
JulSc	4	15	494	341	  736.68
JulSc	4	15	495	343	  817.76
JulSc	4	15	496	344	  833.54
JulSc	4	15	497	346	  842.15
JulSc	4	15	498	347	  858.47
JulSc	4	15	498	348	  864.97
JulSc	4	15	498	349	  873.52
JulSc	4	15	499	350	  882.18
JulSc	4	15	499	352	  888.53
JulSc	4	15	499	354	  897.28
JulSc	4	15	501	356	  906.66
JulSc	4	15	501	357	  913.35
JulSc	4	15	502	357	  921.14
JulSc	5	5	507	567	  442.23
JulSc	5	5	507	552	  449.08
