ID	trialnr	pic_nr	x_traj	y_traj	traj_timesteps
AywGo	1	37	518	567	  330.36
AywGo	1	37	524	555	  337.90
AywGo	1	37	530	543	  346.51
AywGo	1	37	534	531	  354.99
AywGo	1	37	540	519	  361.43
AywGo	1	37	543	507	  369.92
AywGo	1	37	547	496	  378.50
AywGo	1	37	549	485	  387.00
AywGo	1	37	551	474	  393.51
AywGo	1	37	552	466	  402.52
AywGo	1	37	556	457	  411.16
AywGo	1	37	556	450	  417.57
AywGo	1	37	557	443	  426.04
AywGo	1	37	558	437	  434.65
AywGo	1	37	558	432	  443.18
AywGo	1	37	558	425	  449.60
AywGo	1	37	558	421	  458.08
AywGo	1	37	557	415	  466.69
AywGo	1	37	555	410	  475.14
AywGo	1	37	553	406	  481.57
AywGo	1	37	549	399	  490.47
AywGo	1	37	545	394	  499.10
AywGo	1	37	540	388	  505.49
AywGo	1	37	535	383	  514.13
AywGo	1	37	531	378	  522.61
AywGo	1	37	527	375	  529.27
AywGo	1	37	522	372	  539.01
AywGo	1	37	519	369	  545.76
AywGo	1	37	512	366	  563.97
AywGo	1	37	508	364	  570.33
AywGo	1	37	506	363	  578.92
AywGo	1	37	505	363	  593.88
AywGo	1	37	505	361	  603.39
AywGo	1	37	504	360	  609.86
AywGo	1	37	504	358	  618.43
AywGo	1	37	504	355	  626.94
AywGo	1	37	505	351	  633.36
AywGo	1	37	507	348	  641.85
AywGo	1	37	509	344	  650.45
AywGo	1	37	511	342	  658.90
AywGo	1	37	512	339	  665.31
AywGo	1	37	513	338	  674.69
AywGo	1	37	514	335	  681.12
AywGo	1	37	515	334	  689.76
AywGo	1	37	515	333	  698.40
AywGo	1	37	515	332	  705.69
AywGo	1	37	515	331	  722.97
AywGo	1	37	515	332	  785.36
AywGo	1	37	514	334	  794.51
AywGo	1	37	514	335	  803.92
AywGo	1	37	512	337	  810.36
AywGo	1	37	511	339	  818.95
AywGo	1	37	511	341	  834.02
AywGo	1	37	510	342	  842.59
AywGo	1	37	510	343	  851.22
AywGo	1	37	509	345	  866.21
AywGo	1	37	509	346	  922.69
AywGo	1	37	510	346	  938.63
AywGo	1	37	510	347	  970.31
AywGo	1	37	510	348	  986.01
AywGo	1	37	510	349	 1017.76
AywGo	1	37	510	350	 1033.85
AywGo	1	37	510	351	 1057.48
AywGo	1	37	510	352	 1066.58
AywGo	1	37	510	353	 1089.53
AywGo	1	37	509	355	 1106.79
AywGo	1	37	509	356	 1130.75
AywGo	1	37	510	357	 1194.50
AywGo	2	7	522	569	  264.81
AywGo	2	7	522	563	  271.44
AywGo	2	7	522	555	  280.26
AywGo	2	7	522	545	  288.84
AywGo	2	7	521	525	  304.42
AywGo	2	7	518	513	  313.04
AywGo	2	7	516	504	  319.38
AywGo	2	7	514	493	  328.01
AywGo	2	7	511	480	  336.50
AywGo	2	7	507	470	  345.12
AywGo	2	7	505	459	  351.52
AywGo	2	7	502	449	  360.04
AywGo	2	7	500	439	  369.39
AywGo	2	7	497	431	  375.85
AywGo	2	7	496	425	  384.66
AywGo	2	7	494	419	  393.19
AywGo	2	7	494	416	  399.62
AywGo	2	7	494	413	  408.09
AywGo	2	7	494	409	  416.74
AywGo	2	7	493	404	  425.22
AywGo	2	7	493	398	  431.64
AywGo	2	7	492	392	  440.55
AywGo	2	7	491	385	  449.17
AywGo	2	7	489	378	  455.48
AywGo	2	7	487	370	  464.11
AywGo	2	7	486	366	  472.56
AywGo	2	7	485	361	  481.26
AywGo	2	7	485	357	  488.42
AywGo	2	7	485	354	  497.04
AywGo	2	7	484	352	  503.50
AywGo	2	7	484	349	  512.43
AywGo	2	7	484	347	  520.02
AywGo	2	7	484	345	  528.69
AywGo	2	7	485	344	  543.71
AywGo	2	7	486	344	  553.08
AywGo	2	7	487	344	  559.51
AywGo	2	7	489	344	  577.20
AywGo	2	7	490	344	  583.69
AywGo	2	7	491	344	  592.38
AywGo	2	7	494	344	  601.01
AywGo	2	7	496	344	  607.36
AywGo	2	7	498	344	  615.99
AywGo	2	7	500	345	  624.50
AywGo	2	7	502	346	  633.16
AywGo	2	7	503	346	  639.60
AywGo	2	7	504	347	  648.23
AywGo	2	7	505	347	  656.85
AywGo	2	7	505	348	  663.37
AywGo	2	7	506	349	  672.44
AywGo	2	7	507	351	  687.62
AywGo	2	7	508	352	  696.27
AywGo	2	7	508	353	  703.49
AywGo	2	7	508	356	  712.13
AywGo	2	7	508	358	  720.64
AywGo	2	7	509	360	  729.26
AywGo	2	7	510	361	  735.67
AywGo	2	7	510	363	  744.20
AywGo	2	7	510	364	  753.53
AywGo	2	7	511	365	  768.71
AywGo	2	7	512	365	  848.76
AywGo	2	7	512	363	  863.59
AywGo	2	7	512	362	  888.87
AywGo	2	7	512	361	  896.01
AywGo	2	7	512	360	  913.42
AywGo	2	7	512	359	  944.91
AywGo	3	9	521	558	  327.34
AywGo	3	9	522	546	  336.14
AywGo	3	9	522	529	  342.59
AywGo	3	9	522	512	  351.20
AywGo	3	9	520	489	  359.90
AywGo	3	9	518	470	  366.40
