ID	trialnr	pic_nr	x_traj	y_traj	traj_timesteps
FRABu	1	2	503	570	  290.89
FRABu	1	2	503	568	  297.83
FRABu	1	2	503	563	  305.18
FRABu	1	2	503	556	  314.06
FRABu	1	2	504	545	  321.68
FRABu	1	2	505	534	  330.24
FRABu	1	2	508	518	  337.23
FRABu	1	2	509	498	  346.96
FRABu	1	2	514	471	  355.12
FRABu	1	2	517	442	  362.05
FRABu	1	2	524	409	  369.61
FRABu	1	2	525	378	  378.42
FRABu	1	2	531	346	  386.03
FRABu	1	2	534	320	  394.96
FRABu	1	2	535	299	  401.69
FRABu	1	2	536	286	  410.48
FRABu	1	2	536	275	  417.18
FRABu	1	2	536	269	  425.85
FRABu	1	2	536	266	  434.73
FRABu	1	2	536	265	  467.00
FRABu	1	2	536	266	  530.06
FRABu	1	2	534	268	  538.69
FRABu	1	2	533	271	  545.91
FRABu	1	2	532	276	  553.56
FRABu	1	2	530	280	  562.41
FRABu	1	2	529	285	  570.05
FRABu	1	2	527	291	  578.99
FRABu	1	2	525	295	  586.61
FRABu	1	2	525	300	  593.38
FRABu	1	2	524	302	  602.30
FRABu	1	2	524	305	  610.95
FRABu	1	2	523	307	  617.77
FRABu	1	2	522	310	  626.62
FRABu	1	2	522	313	  633.33
FRABu	1	2	522	316	  642.17
FRABu	1	2	521	318	  649.63
FRABu	1	2	521	321	  658.40
FRABu	1	2	521	323	  665.76
FRABu	1	2	521	326	  674.70
FRABu	1	2	521	328	  681.81
FRABu	1	2	521	331	  689.62
FRABu	1	2	521	333	  698.96
FRABu	1	2	521	334	  706.38
FRABu	1	2	521	335	  713.32
FRABu	1	2	521	336	  722.80
FRABu	1	2	521	337	  729.65
FRABu	1	2	521	338	  745.36
FRABu	1	2	520	338	  754.75
FRABu	1	2	520	340	  761.66
FRABu	1	2	519	341	  770.68
FRABu	1	2	519	343	  787.31
FRABu	1	2	519	345	  794.30
FRABu	1	2	519	346	  801.93
FRABu	1	2	519	347	  858.41
FRABu	1	2	518	348	  865.33
FRABu	1	2	518	349	  882.17
FRABu	1	2	517	350	  906.88
FRABu	1	2	516	351	  930.74
FRABu	1	2	515	352	  945.53
FRABu	1	2	515	353	  954.47
FRABu	1	2	514	354	  962.82
FRABu	1	2	514	357	  969.69
FRABu	1	2	514	359	  978.32
FRABu	1	2	514	361	  987.70
FRABu	1	2	514	363	  994.68
FRABu	1	2	514	364	 1001.33
FRABu	2	35	512	567	  240.79
FRABu	2	35	513	558	  247.33
FRABu	2	35	513	545	  257.17
FRABu	2	35	515	533	  263.91
FRABu	2	35	516	518	  271.40
FRABu	2	35	516	501	  280.14
FRABu	2	35	516	485	  289.14
FRABu	2	35	514	469	  295.85
FRABu	2	35	513	455	  304.80
FRABu	2	35	511	443	  311.39
FRABu	2	35	510	433	  320.39
FRABu	2	35	509	425	  329.19
FRABu	2	35	508	419	  336.02
FRABu	2	35	508	415	  344.88
FRABu	2	35	508	413	  352.62
FRABu	2	35	508	412	  359.52
FRABu	2	35	508	411	  369.29
FRABu	2	35	508	409	  384.70
FRABu	2	35	508	408	  409.06
FRABu	2	35	509	407	  521.09
FRABu	2	35	510	406	  527.53
FRABu	2	35	512	403	  536.55
FRABu	2	35	515	400	  545.45
FRABu	2	35	518	395	  553.10
