ID	trialnr	pic_nr	x_traj	y_traj	traj_timesteps
YasEs	1	2	477	550	 1013.53
YasEs	1	2	475	564	 1021.44
YasEs	1	2	474	576	 1030.45
YasEs	1	2	472	590	 1038.34
YasEs	1	2	471	602	 1047.36
YasEs	1	2	470	613	 1054.84
YasEs	1	2	468	626	 1061.87
YasEs	1	2	467	637	 1071.68
YasEs	1	2	466	648	 1078.38
YasEs	1	2	466	657	 1088.05
YasEs	1	2	466	665	 1094.70
YasEs	1	2	465	674	 1103.58
YasEs	1	2	465	678	 1110.21
YasEs	1	2	465	682	 1119.04
YasEs	1	2	465	685	 1125.70
YasEs	1	2	465	687	 1134.40
YasEs	1	2	465	689	 1143.24
YasEs	2	33	511	562	  428.98
YasEs	2	33	510	552	  438.65
YasEs	2	33	509	541	  445.18
YasEs	2	33	509	530	  454.11
YasEs	2	33	509	520	  462.87
YasEs	2	33	509	508	  470.01
YasEs	2	33	510	498	  478.75
YasEs	2	33	511	487	  485.44
YasEs	2	33	512	478	  494.30
YasEs	2	33	513	468	  503.19
YasEs	2	33	514	460	  509.82
YasEs	2	33	516	452	  518.73
YasEs	2	33	517	444	  526.34
YasEs	2	33	518	438	  535.29
YasEs	2	33	518	432	  542.04
YasEs	2	33	518	426	  550.83
YasEs	2	33	518	422	  557.59
YasEs	2	33	518	418	  566.39
YasEs	2	33	518	415	  573.05
YasEs	2	33	518	413	  581.84
YasEs	2	33	518	411	  589.08
YasEs	2	33	519	410	  597.85
YasEs	2	33	519	407	  606.72
YasEs	2	33	520	405	  613.28
YasEs	2	33	520	404	  622.54
YasEs	2	33	520	402	  629.15
YasEs	2	33	520	399	  638.15
YasEs	2	33	521	398	  646.92
YasEs	2	33	521	396	  653.63
YasEs	2	33	521	393	  662.20
YasEs	2	33	521	391	  670.88
YasEs	2	33	521	387	  677.50
YasEs	2	33	521	385	  687.16
YasEs	2	33	521	383	  693.75
YasEs	2	33	520	381	  702.51
YasEs	2	33	520	379	  709.18
YasEs	2	33	519	376	  718.00
YasEs	2	33	519	375	  726.90
YasEs	2	33	519	374	  733.51
YasEs	2	33	519	373	  742.41
YasEs	2	33	519	372	  751.12
YasEs	2	33	519	371	  757.75
YasEs	2	33	518	371	  766.42
YasEs	2	33	518	370	  773.05
YasEs	2	33	518	368	  790.74
YasEs	2	33	517	368	  806.17
YasEs	2	33	515	367	  830.46
YasEs	2	33	514	367	  853.10
YasEs	3	40	510	563	  287.69
YasEs	3	40	510	554	  296.81
YasEs	3	40	510	543	  303.44
YasEs	3	40	510	532	  312.14
YasEs	3	40	510	520	  319.21
YasEs	3	40	510	509	  327.95
YasEs	3	40	510	497	  334.73
YasEs	3	40	509	483	  343.46
YasEs	3	40	509	471	  352.72
YasEs	3	40	507	459	  359.38
YasEs	3	40	506	446	  369.18
YasEs	3	40	502	435	  375.87
YasEs	3	40	499	424	  384.70
YasEs	3	40	496	415	  391.27
YasEs	3	40	495	407	  400.09
YasEs	3	40	493	400	  408.86
YasEs	3	40	492	395	  415.41
YasEs	3	40	490	391	  424.24
YasEs	3	40	489	388	  430.79
YasEs	3	40	489	385	  439.45
YasEs	3	40	489	382	  448.23
YasEs	3	40	489	379	  455.32
YasEs	3	40	489	377	  464.22
YasEs	3	40	489	376	  471.78
YasEs	3	40	489	374	  480.56
YasEs	3	40	489	372	  487.22
YasEs	3	40	489	371	  496.15
YasEs	3	40	490	369	  503.23
YasEs	3	40	491	367	  512.08
YasEs	3	40	492	364	  518.68
YasEs	3	40	492	361	  527.24
YasEs	3	40	492	359	  536.51
YasEs	3	40	493	354	  543.15
YasEs	3	40	493	352	  551.80
YasEs	3	40	494	348	  560.64
YasEs	3	40	494	345	  567.18
YasEs	3	40	495	342	  576.05
YasEs	3	40	496	340	  582.82
