ID	trialnr	pic_nr	x_traj	y_traj	traj_timesteps
Ma	1	43	511	569	  431.09
Ma	1	43	514	563	  438.33
Ma	1	43	517	556	  447.09
Ma	1	43	521	547	  453.55
Ma	1	43	526	536	  462.26
Ma	1	43	528	525	  469.62
Ma	1	43	530	516	  478.30
Ma	1	43	531	508	  487.05
Ma	1	43	533	498	  493.77
Ma	1	43	534	491	  503.08
Ma	1	43	535	483	  509.65
Ma	1	43	538	473	  518.41
Ma	1	43	539	459	  527.05
Ma	1	43	540	446	  533.55
Ma	1	43	540	436	  542.23
Ma	1	43	540	431	  551.04
Ma	1	43	538	425	  557.52
Ma	1	43	536	417	  566.24
Ma	1	43	530	411	  574.94
Ma	1	43	526	404	  581.51
Ma	1	43	523	399	  591.23
Ma	1	43	520	393	  597.81
Ma	1	43	517	388	  606.54
Ma	1	43	515	383	  615.26
Ma	1	43	512	380	  622.22
Ma	1	43	508	375	  630.95
Ma	1	43	506	373	  637.45
Ma	1	43	504	370	  646.17
Ma	1	43	503	369	  653.50
Ma	1	43	502	367	  662.25
Ma	1	43	501	367	  677.43
Ma	1	43	500	367	  718.67
Ma	1	43	500	366	  725.76
Ma	1	43	500	365	  734.43
Ma	1	43	499	364	  743.12
Ma	1	43	498	364	  749.68
Ma	1	43	498	363	  758.40
Ma	1	43	498	361	  773.77
Ma	1	43	498	360	  789.52
Ma	2	46	512	567	  392.12
Ma	2	46	510	558	  399.02
Ma	2	46	507	548	  407.73
Ma	2	46	505	540	  414.28
Ma	2	46	503	529	  423.87
Ma	2	46	502	518	  430.43
Ma	2	46	500	504	  439.21
Ma	2	46	499	491	  447.90
Ma	2	46	499	476	  455.27
Ma	2	46	497	458	  464.07
Ma	2	46	496	443	  470.65
Ma	2	46	493	430	  479.40
Ma	2	46	491	418	  486.34
Ma	2	46	488	407	  495.07
Ma	2	46	486	396	  503.81
Ma	2	46	482	382	  519.61
Ma	2	46	481	377	  528.40
Ma	2	46	479	373	  534.94
Ma	2	46	479	371	  543.66
Ma	2	46	478	368	  553.20
Ma	2	46	479	369	  590.36
Ma	2	46	479	370	  599.58
Ma	2	46	480	371	  608.31
Ma	2	46	480	373	  614.85
Ma	2	46	482	374	  624.45
Ma	2	46	483	376	  630.99
Ma	2	46	485	376	  639.76
Ma	2	46	488	377	  646.31
Ma	2	46	489	379	  655.87
Ma	2	46	491	379	  662.36
Ma	2	46	492	379	  671.08
Ma	2	46	493	380	  679.88
Ma	2	46	495	380	  687.27
Ma	2	46	496	380	  702.47
Ma	2	46	497	380	  711.28
Ma	2	46	498	378	  727.12
Ma	2	46	499	377	  742.44
Ma	2	46	499	376	  751.20
Ma	2	46	500	375	  759.89
Ma	2	46	501	375	  766.46
Ma	2	46	502	373	  775.19
Ma	2	46	503	373	  783.88
Ma	2	46	504	371	  790.35
Ma	2	46	505	370	  798.98
Ma	2	46	505	368	  806.48
Ma	2	46	505	367	  815.25
Ma	2	46	505	366	  824.02
Ma	2	46	506	365	  830.63
Ma	2	46	506	364	  848.41
Ma	2	46	506	363	  863.84
Ma	2	46	507	362	  888.62
Ma	2	46	507	361	  927.51
Ma	3	39	507	569	  312.99
Ma	3	39	506	565	  321.99
Ma	3	39	505	559	  328.51
Ma	3	39	505	552	  338.12
Ma	3	39	504	545	  344.69
Ma	3	39	503	534	  353.21
Ma	3	39	503	524	  361.85
Ma	3	39	502	515	  368.42
Ma	3	39	501	506	  377.18
Ma	3	39	500	499	  386.18
Ma	3	39	500	495	  392.83
Ma	3	39	499	492	  401.70
Ma	3	39	499	489	  408.32
Ma	3	39	499	486	  416.99
Ma	3	39	499	482	  425.69
Ma	3	39	499	477	  432.27
Ma	3	39	500	473	  441.24
Ma	3	39	500	470	  449.93
Ma	3	39	501	464	  456.62
Ma	3	39	501	461	  465.37
Ma	3	39	501	457	  474.09
Ma	3	39	501	455	  480.53
Ma	3	39	501	452	  489.21
Ma	3	39	501	449	  497.83
Ma	3	39	502	446	  505.09
Ma	3	39	502	442	  513.82
Ma	3	39	502	439	  520.32
Ma	3	39	503	435	  529.08
Ma	3	39	503	432	  536.44
Ma	3	39	504	429	  545.21
Ma	3	39	506	426	  553.83
Ma	3	39	508	422	  560.27
Ma	3	39	508	419	  569.74
Ma	3	39	509	417	  576.32
Ma	3	39	510	415	  585.05
Ma	3	39	510	413	  593.70
Ma	3	39	511	411	  600.26
Ma	3	39	511	409	  608.93
Ma	3	39	511	408	  617.70
Ma	3	39	512	405	  624.18
Ma	3	39	513	404	  632.91
Ma	3	39	513	402	  641.61
Ma	3	39	513	399	  650.26
Ma	3	39	514	397	  656.73
Ma	3	39	514	395	  665.51
Ma	3	39	514	393	  672.44
Ma	3	39	514	392	  681.19
Ma	3	39	514	389	  689.87
Ma	3	39	514	388	  696.33
Ma	3	39	514	387	  705.92
Ma	3	39	514	386	  721.35
Ma	3	39	514	384	  745.92
Ma	3	39	514	383	  761.02
Ma	3	39	514	382	  770.49
Ma	3	39	514	381	  777.00
Ma	3	39	514	380	  785.73
Ma	3	39	513	378	  792.24
Ma	3	39	512	378	  800.95
Ma	3	39	512	377	  809.76
Ma	3	39	512	376	  816.40
Ma	3	39	512	375	  825.31
Ma	3	39	511	375	  834.13
Ma	3	39	511	374	  840.63
Ma	3	39	511	373	  865.12
Ma	3	39	511	372	  880.62
Ma	3	39	511	371	  905.10
Ma	4	25	510	566	  226.00
Ma	4	25	508	558	  235.47
Ma	4	25	505	550	  242.04
Ma	4	25	501	541	  250.78
Ma	4	25	498	533	  257.31
Ma	4	25	495	521	  265.99
Ma	4	25	492	509	  274.70
Ma	4	25	490	498	  281.23
Ma	4	25	486	484	  290.36
Ma	4	25	485	473	  299.09
Ma	4	25	483	466	  305.62
Ma	4	25	483	459	  314.38
Ma	4	25	483	455	  321.30
Ma	4	25	483	452	  330.03
Ma	4	25	482	449	  338.72
Ma	4	25	482	446	  345.26
Ma	4	25	482	443	  354.82
Ma	4	25	482	438	  361.38
Ma	4	25	482	432	  370.12
Ma	4	25	483	425	  378.88
Ma	4	25	483	420	  386.21
Ma	4	25	484	415	  394.94
Ma	4	25	484	412	  401.47
Ma	4	25	485	409	  410.17
Ma	4	25	486	407	  419.24
Ma	4	25	487	404	  425.83
Ma	4	25	489	400	  434.54
Ma	4	25	490	396	  441.09
Ma	4	25	491	393	  449.75
Ma	4	25	493	388	  458.48
Ma	4	25	493	385	  467.09
Ma	4	25	494	382	  473.62
Ma	4	25	496	378	  482.35
Ma	4	25	496	376	  489.20
Ma	4	25	496	375	  498.01
Ma	4	25	498	373	  505.43
Ma	4	25	498	372	  514.16
Ma	4	25	499	370	  522.92
Ma	4	25	502	370	  529.48
Ma	4	25	502	368	  538.58
Ma	4	25	504	368	  545.12
Ma	4	25	504	367	  553.83
Ma	4	25	506	366	  562.57
Ma	4	25	507	366	  569.97
Ma	4	25	509	366	  585.31
Ma	4	25	510	366	  594.04
Ma	4	25	511	366	  603.57
Ma	4	25	512	365	  610.53
