ID	trialnr	pic_nr	timeover	RT_total	RT_planung	control_planning_x	control_planning_y	RT_movement	posx	posy
YasEs	1	2	1	 1475.54	 1013.53	477	550	  462.00	0	0
YasEs	2	33	0	  941.78	  428.98	511	562	  512.79	514	367
YasEs	3	40	0	  960.42	  287.69	510	563	  672.73	510	353
YasEs	4	5	0	  841.48	  248.21	516	562	  593.27	517	354
YasEs	5	21	0	  703.64	  254.89	512	567	  448.75	509	367
YasEs	6	27	0	  625.63	  170.72	516	567	  454.90	518	354
YasEs	7	16	0	  778.66	  265.89	511	569	  512.77	512	368
YasEs	8	7	0	  659.22	  242.85	512	564	  416.37	518	360
YasEs	9	21	0	  817.22	  305.72	509	560	  511.50	508	369
YasEs	10	3	0	  856.01	  287.75	512	567	  568.26	504	345
YasEs	11	44	0	  885.23	  254.26	512	569	  630.97	506	372
YasEs	12	35	0	  961.54	  281.66	510	564	  679.87	531	353
YasEs	13	23	0	  955.69	  235.70	508	565	  719.99	508	363
YasEs	14	34	0	  780.46	  244.86	509	569	  535.60	511	345
YasEs	15	30	0	  885.19	  261.31	510	566	  623.88	509	365
YasEs	16	28	0	  823.81	  216.89	512	569	  606.92	508	365
YasEs	17	4	0	  974.91	  255.31	511	564	  719.60	510	358
YasEs	18	31	0	  863.65	  256.49	513	566	  607.16	514	358
YasEs	19	25	0	  941.23	  260.71	505	570	  680.52	509	359
YasEs	20	17	0	  965.69	  237.87	510	562	  727.81	515	363
YasEs	21	10	0	 1233.37	  358.92	512	564	  874.45	510	362
YasEs	22	25	0	  916.66	  227.70	504	563	  688.96	511	356
YasEs	23	9	0	  846.62	  198.07	508	565	  648.55	517	369
YasEs	24	30	0	  972.48	  260.61	508	562	  711.88	515	357
YasEs	25	41	0	  772.61	  269.46	509	568	  503.15	513	351
YasEs	26	17	0	  974.59	  367.17	512	565	  607.41	518	363
YasEs	27	37	0	  911.51	  285.58	509	567	  625.93	513	347
YasEs	28	33	0	  696.69	  273.44	508	566	  423.25	517	358
YasEs	29	34	0	  740.75	  277.64	507	565	  463.11	517	344
YasEs	30	40	0	  767.39	  286.73	504	568	  480.65	515	372
YasEs	31	35	0	  792.57	  257.20	507	565	  535.38	512	359
YasEs	32	13	0	  888.51	  248.21	510	563	  640.30	513	360
YasEs	33	47	0	  812.36	  244.06	513	565	  568.30	516	350
YasEs	34	42	0	  764.09	  252.50	512	561	  511.58	524	360
YasEs	35	8	0	  683.98	  235.85	509	564	  448.14	508	351
YasEs	36	48	0	 1009.92	  257.13	510	563	  752.79	510	367
YasEs	37	41	0	  711.77	  216.74	510	563	  495.03	497	364
YasEs	38	23	0	  677.11	  253.06	510	562	  424.05	515	367
YasEs	39	44	0	  666.15	  225.87	509	562	  440.28	512	374
YasEs	40	36	0	  655.48	  231.51	511	570	  423.98	515	360
YasEs	41	4	0	  893.21	  260.73	511	570	  632.48	509	360
YasEs	42	46	0	  835.81	  247.93	510	570	  587.88	511	360
YasEs	43	19	0	  781.61	  237.70	516	567	  543.91	512	348
YasEs	44	9	0	  782.74	  215.46	510	566	  567.27	514	363
YasEs	45	28	0	  614.30	   62.67	507	568	  551.64	507	368
YasEs	46	42	0	  813.39	  245.78	514	568	  567.60	517	360
YasEs	47	32	0	  837.23	  260.48	509	568	  576.76	506	355
YasEs	48	29	0	  739.54	  258.38	510	562	  481.17	507	370
YasEs	49	39	0	  829.69	  269.50	511	562	  560.19	512	346
YasEs	50	39	0	  784.91	  296.00	512	563	  488.91	521	351
YasEs	51	18	0	  808.29	  256.73	491	568	  551.56	508	346
YasEs	52	38	0	  719.44	  231.36	512	567	  488.08	519	359
YasEs	53	45	0	  951.40	  327.65	508	569	  623.76	508	359
YasEs	54	12	0	  847.54	  264.78	511	568	  582.77	512	350
YasEs	55	22	0	  781.30	  229.20	506	568	  552.10	519	339
YasEs	56	32	0	  797.62	  254.51	507	561	  543.12	509	358
YasEs	57	47	0	  797.72	  334.15	504	565	  463.57	514	361
YasEs	58	11	0	  845.02	  293.95	509	566	  551.07	514	367
YasEs	59	10	0	  938.15	  258.41	513	560	  679.74	518	353
YasEs	60	20	0	  741.02	  243.80	511	569	  497.22	521	356
YasEs	61	6	0	  855.94	  248.48	503	570	  607.46	518	357
YasEs	62	13	0	  820.19	  269.08	507	567	  551.11	510	348
YasEs	63	24	0	  835.71	  260.52	511	565	  575.19	513	364
YasEs	64	14	0	  921.89	  281.90	509	569	  639.99	515	355
YasEs	65	22	0	  837.06	  259.97	510	570	  577.09	514	352
YasEs	66	38	0	  787.70	  210.74	507	564	  576.96	518	348
YasEs	67	24	0	  786.02	  235.39	508	562	  550.63	511	358
YasEs	68	3	0	  924.94	  259.56	508	563	  665.39	508	349
YasEs	69	43	0	  942.65	  302.53	505	565	  640.11	504	358
YasEs	70	43	0	  764.66	  291.97	505	563	  472.69	504	355
YasEs	71	12	0	  757.04	  252.20	509	567	  504.84	507	352
YasEs	72	5	0	  790.76	  271.45	511	567	  519.31	507	361
YasEs	73	14	0	  838.13	  246.19	509	568	  591.93	503	361
YasEs	74	6	0	  764.81	  221.56	508	565	  543.25	520	367
YasEs	75	45	0	  920.93	  257.35	511	567	  663.58	514	352
YasEs	76	7	0	  900.35	  236.18	508	570	  664.17	512	353
YasEs	77	27	0	 1015.28	  294.73	501	568	  720.54	512	351
YasEs	78	37	0	  837.58	  261.32	515	560	  576.26	515	360
YasEs	79	29	0	  779.31	  235.69	508	568	  543.62	512	373
YasEs	80	26	0	  836.77	  309.98	507	563	  526.79	518	369
YasEs	81	2	0	  691.73	  275.27	509	562	  416.46	511	368
YasEs	82	15	0	  775.56	  304.95	504	564	  470.61	514	366
YasEs	83	46	0	  865.23	  296.44	510	563	  568.79	515	367
YasEs	84	15	0	  685.98	  158.21	510	567	  527.77	515	377
YasEs	85	16	0	  762.25	  314.11	512	569	  448.14	521	346
YasEs	86	19	0	  819.28	  266.87	509	560	  552.41	511	379
YasEs	87	1	0	  897.58	  297.46	509	568	  600.12	518	354
YasEs	88	48	0	  645.29	   45.72	512	569	  599.58	512	367
YasEs	89	11	0	  748.19	  277.02	502	561	  471.17	514	370
YasEs	90	31	0	  621.71	  212.71	515	564	  409.00	513	368
YasEs	91	36	0	  598.38	  173.43	509	561	  424.96	511	362
YasEs	92	18	0	  654.28	  246.19	511	561	  408.09	522	363
YasEs	93	20	0	  797.06	  317.37	511	564	  479.69	510	351
YasEs	94	26	0	  923.58	  276.51	503	569	  647.07	516	356
YasEs	95	8	0	  790.20	  253.21	514	565	  536.99	514	364
