ID	trialnr	pic_nr	timeover	RT_total	RT_planung	control_planning_x	control_planning_y	RT_movement	posx	posy
RabSc	1	47	1	 1475.44	  246.17	518	569	 1229.27	0	0
RabSc	2	28	0	  925.35	  141.47	508	570	  783.87	511	358
RabSc	3	44	0	 1191.99	  225.09	510	569	  966.89	512	356
RabSc	4	16	0	  993.49	  263.64	507	565	  729.85	518	358
RabSc	5	34	0	 1000.97	  216.50	512	562	  784.47	520	352
RabSc	6	18	0	  831.93	  216.57	514	568	  615.36	519	369
RabSc	7	40	0	 1206.37	  270.99	518	567	  935.38	518	352
RabSc	8	10	0	 1101.50	  246.09	522	564	  855.41	522	351
RabSc	9	27	0	 1129.36	  202.26	516	568	  927.10	520	355
RabSc	10	36	0	 1066.78	  242.74	512	563	  824.04	517	357
RabSc	11	10	0	 1175.95	  216.49	524	569	  959.46	525	361
RabSc	12	11	0	 1224.14	  255.16	511	566	  968.98	516	366
RabSc	13	2	0	 1246.57	  254.79	518	570	  991.78	516	362
RabSc	14	3	0	 1468.46	  260.92	516	568	 1207.55	515	358
RabSc	15	9	1	 1475.26	  295.95	531	570	 1179.31	0	0
RabSc	16	20	1	 1475.28	  352.73	529	559	 1122.55	0	0
RabSc	17	26	0	 1137.91	  225.57	518	565	  912.34	519	357
RabSc	18	39	0	 1131.32	  267.12	535	564	  864.20	514	364
RabSc	19	24	0	 1164.17	  252.47	518	567	  911.70	515	365
RabSc	20	19	0	 1046.36	  229.49	510	570	  816.87	517	355
RabSc	21	4	0	 1315.96	  204.93	514	565	 1111.03	516	363
RabSc	22	6	0	 1422.06	  254.87	513	570	 1167.20	516	358
RabSc	23	19	0	 1067.51	  218.73	513	569	  848.78	521	358
RabSc	24	1	0	 1297.71	  202.14	519	569	 1095.57	517	356
RabSc	25	23	1	 1475.56	    0.88	505	562	 1474.68	0	0
RabSc	26	37	0	 1275.98	  204.41	513	570	 1071.57	525	358
RabSc	27	26	0	 1209.07	  233.17	515	568	  975.90	517	354
RabSc	28	40	0	 1432.83	  223.45	508	565	 1209.39	521	353
RabSc	29	15	0	 1270.44	  213.35	514	563	 1057.09	524	354
RabSc	30	25	0	 1266.91	  289.86	504	561	  977.05	511	357
RabSc	31	33	1	 1475.48	  342.25	513	548	 1133.23	0	0
RabSc	32	18	0	 1224.50	  200.50	510	569	 1024.00	521	358
RabSc	33	32	0	 1045.49	  229.69	511	567	  815.81	515	356
RabSc	34	16	0	 1141.34	  213.36	512	562	  927.98	511	359
RabSc	35	43	0	 1239.58	  199.89	510	564	 1039.69	513	366
RabSc	36	5	0	 1277.91	  254.26	517	560	 1023.65	512	359
