ID	trialnr	pic_nr	timeover	RT_total	RT_planung	control_planning_x	control_planning_y	RT_movement	posx	posy
Nr2	1	9	0	 1373.03	  461.39	504	567	  911.64	507	363
Nr2	2	22	1	 1475.12	  340.97	512	567	 1134.14	0	0
Nr2	3	10	0	 1302.87	  325.43	505	569	  977.45	512	378
Nr2	4	31	0	 1313.04	  265.12	517	563	 1047.92	510	357
Nr2	5	32	1	 1475.41	  541.05	518	564	  934.36	0	0
Nr2	6	13	0	 1263.28	  318.82	509	570	  944.47	514	373
Nr2	7	48	0	 1355.72	  164.70	509	568	 1191.02	514	350
Nr2	8	37	0	 1309.82	  356.86	515	567	  952.96	516	371
Nr2	9	13	0	 1296.21	  328.30	517	570	  967.91	513	350
Nr2	10	18	0	  956.90	    5.00	510	569	  951.90	514	357
Nr2	11	27	0	 1110.42	   22.22	512	568	 1088.20	511	352
Nr2	12	33	0	 1288.93	  337.74	545	563	  951.19	514	353
Nr2	13	48	0	 1110.29	  133.19	512	567	  977.10	506	368
Nr2	14	40	0	 1248.83	  321.32	519	570	  927.51	510	359
Nr2	15	22	0	 1326.62	   22.28	507	570	 1304.34	508	360
Nr2	16	43	0	 1209.99	  289.95	523	570	  920.05	507	371
Nr2	17	4	0	 1025.87	    0.78	513	560	 1025.09	513	375
Nr2	18	15	0	 1175.72	    9.29	507	568	 1166.43	515	351
Nr2	19	9	0	 1209.52	  185.24	510	567	 1024.28	508	369
Nr2	20	23	0	 1247.59	   15.69	517	570	 1231.90	516	368
Nr2	21	18	0	 1279.28	  325.99	507	564	  953.28	512	375
Nr2	22	12	0	 1331.68	   75.10	512	569	 1256.58	511	349
Nr2	23	31	1	 1475.23	  260.90	519	565	 1214.34	0	0
Nr2	24	35	1	 1475.26	  180.99	528	569	 1294.27	0	0
Nr2	25	29	0	 1134.63	  310.99	513	567	  823.64	513	373
Nr2	26	5	0	  818.29	  281.59	512	570	  536.70	508	369
Nr2	27	24	0	 1425.54	  265.30	520	569	 1160.24	508	367
