ID	trialnr	pic_nr	timeover	RT_total	RT_planung	control_planning_x	control_planning_y	RT_movement	posx	posy
JohWi	1	42	0	  977.15	  440.43	504	570	  536.72	515	338
JohWi	2	29	0	  961.00	  322.02	510	570	  638.98	516	341
JohWi	3	47	0	 1073.26	  297.00	509	570	  776.26	509	345
JohWi	4	30	0	 1118.80	  294.11	508	570	  824.70	516	346
JohWi	5	18	0	 1192.94	  282.17	512	570	  910.77	517	345
JohWi	6	25	0	 1161.45	   97.56	514	570	 1063.89	513	343
JohWi	7	27	0	  818.15	  241.73	504	570	  576.42	515	372
JohWi	8	44	0	 1224.55	  256.48	514	570	  968.08	516	363
JohWi	9	22	0	 1375.28	  326.05	512	569	 1049.22	514	361
JohWi	10	12	0	 1310.05	  221.75	513	570	 1088.30	510	364
JohWi	11	45	0	 1292.76	  125.54	516	570	 1167.22	511	366
JohWi	12	26	1	 1475.18	  352.93	513	563	 1122.25	0	0
JohWi	13	29	0	 1088.32	  465.43	502	566	  622.89	513	361
JohWi	14	21	0	  989.04	  244.97	503	568	  744.07	511	367
JohWi	15	23	0	  685.41	   62.00	513	570	  623.41	507	352
JohWi	16	10	0	  850.77	  273.32	512	566	  577.45	518	354
JohWi	17	35	0	 1064.44	  263.18	510	570	  801.26	512	344
JohWi	18	14	0	 1285.64	  363.88	510	562	  921.77	523	368
JohWi	19	17	0	 1304.85	   32.73	513	567	 1272.12	512	359
JohWi	20	27	0	 1034.76	  258.42	513	570	  776.34	517	364
JohWi	21	44	0	 1192.73	  279.92	505	567	  912.81	522	356
JohWi	22	30	0	 1168.53	  104.23	511	570	 1064.30	514	357
JohWi	23	40	0	 1337.67	  321.74	516	569	 1015.93	519	365
JohWi	24	17	0	 1435.66	  275.15	512	568	 1160.51	513	355
JohWi	25	28	0	 1127.34	  303.61	499	568	  823.73	515	357
JohWi	26	19	0	 1330.29	  378.36	513	568	  951.94	512	360
JohWi	27	47	0	 1234.29	   52.35	509	569	 1181.94	508	351
JohWi	28	19	0	 1272.80	  338.43	511	565	  934.36	516	366
JohWi	29	46	0	 1284.58	  348.46	512	569	  936.12	510	371
JohWi	30	1	0	  961.34	  225.32	509	567	  736.02	509	366
JohWi	31	45	0	 1326.63	  231.62	513	567	 1095.02	510	356
JohWi	32	5	0	 1018.24	  322.06	512	570	  696.17	510	354
JohWi	33	15	0	 1007.28	  304.77	504	567	  702.51	518	363
JohWi	34	36	0	  895.06	  256.64	514	568	  638.42	510	355
JohWi	35	36	0	 1056.21	  295.90	512	570	  760.31	518	367
JohWi	36	14	0	 1079.02	  286.46	516	570	  792.56	526	370
JohWi	37	8	0	  931.86	  284.15	515	568	  647.70	508	357
JohWi	38	24	0	 1446.38	  292.98	515	568	 1153.41	517	355
JohWi	39	41	0	 1067.49	  307.65	516	567	  759.83	510	351
JohWi	40	43	0	 1208.28	  265.10	512	570	  943.17	508	356
JohWi	41	31	0	 1007.66	  271.21	508	564	  736.45	518	355
JohWi	42	20	1	 1475.13	  245.83	507	569	 1229.30	0	0
JohWi	43	33	0	 1023.26	  319.71	500	570	  703.54	520	369
JohWi	44	12	0	  774.62	  125.11	512	570	  649.51	514	367
JohWi	45	41	0	 1337.79	  254.23	516	568	 1083.57	515	357
JohWi	46	40	0	 1102.94	  319.22	519	567	  783.72	518	359
JohWi	47	35	0	  938.37	  321.46	515	565	  616.90	521	360
JohWi	48	24	0	 1157.59	  316.82	515	568	  840.77	511	359
JohWi	49	28	0	  902.94	  271.29	515	568	  631.65	513	363
JohWi	50	34	0	  938.59	  225.81	514	569	  712.79	520	372
JohWi	51	13	0	 1091.77	  308.93	520	568	  782.84	519	355
JohWi	52	46	0	 1023.13	  272.92	511	569	  750.21	515	358
JohWi	53	6	0	 1070.06	  399.26	513	567	  670.79	506	355
JohWi	54	34	0	  916.37	  283.57	512	570	  632.80	517	364
JohWi	55	13	0	 1167.50	  207.30	514	570	  960.20	526	367
JohWi	56	32	0	  879.24	  208.03	510	570	  671.21	521	354
JohWi	57	5	0	 1219.98	   11.78	514	569	 1208.21	507	359
JohWi	58	2	0	 1009.98	  242.40	504	566	  767.58	509	350
JohWi	59	16	1	 1475.21	  242.40	504	566	 1232.81	0	0
JohWi	60	9	0	 1042.56	  250.31	509	569	  792.26	515	372
JohWi	61	23	0	  783.42	   71.00	511	570	  712.42	508	351
JohWi	62	10	0	 1455.20	  247.88	510	567	 1207.32	519	364
JohWi	63	22	0	 1172.37	  259.20	508	569	  913.17	513	365
JohWi	64	32	1	 1475.27	  332.37	507	569	 1142.90	0	0
JohWi	65	48	0	  939.97	  323.97	515	566	  616.00	512	379
JohWi	66	2	0	 1040.97	   39.38	511	570	 1001.59	513	367
JohWi	67	42	0	 1277.34	  309.80	515	566	  967.54	521	366
JohWi	68	18	0	 1210.49	  490.67	526	570	  719.82	521	367
JohWi	69	4	0	 1450.16	  371.17	518	564	 1078.99	517	364
JohWi	70	26	0	 1014.56	  229.83	511	570	  784.73	515	363
JohWi	71	6	0	  989.49	  271.08	509	569	  718.42	511	349
JohWi	72	8	0	 1014.07	  269.70	506	567	  744.37	511	368
JohWi	73	21	0	 1205.82	  388.46	510	566	  817.36	516	360
JohWi	74	48	0	  956.89	  252.92	510	568	  703.97	514	364
JohWi	75	39	0	 1270.72	  382.36	508	567	  888.36	517	369
JohWi	76	16	0	  898.16	  248.27	509	564	  649.89	520	355
JohWi	77	7	0	  907.04	  236.09	513	567	  670.95	518	373
JohWi	78	37	0	 1261.09	  286.69	510	567	  974.40	520	366
JohWi	79	3	0	  881.53	  264.96	513	568	  616.57	514	352
JohWi	80	20	0	  846.45	  342.45	514	569	  504.00	512	364
JohWi	81	33	0	  795.16	   99.45	507	569	  695.71	515	374
JohWi	82	1	1	 1475.27	  247.91	515	570	 1227.36	0	0
JohWi	83	7	0	  853.25	  292.54	502	565	  560.70	517	364
JohWi	84	43	0	  906.81	  289.99	509	570	  616.81	513	364
JohWi	85	31	0	  982.43	  309.03	509	567	  673.41	514	362
JohWi	86	37	0	 1031.34	  262.96	514	570	  768.38	517	373
JohWi	87	9	0	 1053.63	  301.30	508	569	  752.33	514	362
JohWi	88	11	0	  874.78	   43.31	510	570	  831.46	520	373
JohWi	89	11	0	  859.37	  251.01	507	569	  608.36	518	365
JohWi	90	3	0	  831.95	  313.59	505	570	  518.36	511	353
JohWi	91	38	0	  862.30	  271.29	508	569	  591.01	513	361
JohWi	92	4	0	  978.72	  315.04	507	569	  663.68	514	357
JohWi	93	15	0	  914.90	   28.52	509	570	  886.38	520	349
JohWi	94	25	0	  983.13	  279.64	509	569	  703.49	524	360
JohWi	95	38	0	 1015.43	  263.47	511	567	  751.95	523	366
JohWi	96	39	0	  950.60	  246.40	508	565	  704.20	515	355
