ID	trialnr	pic_nr	timeover	RT_total	RT_planung	control_planning_x	control_planning_y	RT_movement	posx	posy
AywGo	1	37	0	 1226.64	  330.36	518	567	  896.28	510	357
AywGo	2	7	0	 1016.58	  264.81	522	569	  751.77	512	358
AywGo	3	9	0	 1207.99	  327.34	521	558	  880.66	515	359
AywGo	4	47	0	  942.42	  350.42	502	561	  592.00	504	362
AywGo	5	8	0	 1096.18	  248.20	516	568	  847.98	504	361
AywGo	6	27	0	 1068.61	  325.41	514	567	  743.20	507	355
AywGo	7	46	0	  729.72	  265.84	517	565	  463.89	504	361
AywGo	8	2	0	 1052.30	  260.73	506	568	  791.57	512	360
AywGo	9	26	0	 1091.11	  306.51	510	564	  784.60	510	361
AywGo	10	1	0	 1302.01	  429.77	521	566	  872.23	508	363
AywGo	11	1	0	 1074.96	  348.62	516	566	  726.34	504	354
AywGo	12	47	0	 1426.01	  281.20	514	561	 1144.81	512	355
AywGo	13	35	0	  894.13	  214.78	512	568	  679.36	511	364
AywGo	14	32	0	 1003.73	  267.43	514	563	  736.30	510	357
AywGo	15	4	0	 1187.07	  321.94	520	562	  865.13	509	358
AywGo	16	24	0	 1234.73	  258.30	508	567	  976.43	512	370
AywGo	17	37	0	 1392.93	  344.57	518	563	 1048.36	521	363
AywGo	18	7	0	 1183.33	  269.57	516	564	  913.76	515	356
AywGo	19	2	0	  885.48	  310.44	508	561	  575.04	513	358
AywGo	20	41	0	 1026.08	  219.30	514	567	  806.79	512	361
AywGo	21	18	0	 1089.49	   87.69	506	569	 1001.80	515	358
AywGo	22	13	0	  852.46	  339.65	507	567	  512.81	517	364
AywGo	23	48	0	  946.79	  258.50	516	565	  688.29	507	363
AywGo	24	9	0	  878.42	  302.48	516	570	  575.94	518	366
AywGo	25	18	0	  803.25	  235.21	510	570	  568.04	513	362
AywGo	26	29	0	  795.50	  227.03	520	563	  568.46	505	360
AywGo	27	6	0	 1027.80	  189.31	507	570	  838.49	516	365
AywGo	28	33	0	 1211.90	   51.82	512	568	 1160.08	511	359
AywGo	29	23	0	 1002.65	  193.75	507	570	  808.90	513	359
AywGo	30	39	0	 1226.83	   34.84	512	570	 1191.99	518	358
AywGo	31	44	0	  960.02	  239.64	516	568	  720.38	516	369
AywGo	32	40	0	 1417.80	  202.28	510	570	 1215.52	513	359
AywGo	33	45	0	 1210.98	  164.46	524	565	 1046.52	505	360
AywGo	34	14	0	 1162.90	  210.60	516	566	  952.30	516	360
AywGo	35	48	0	 1346.31	    0.76	508	568	 1345.54	510	360
AywGo	36	5	0	  947.74	  331.89	517	567	  615.85	507	369
AywGo	37	27	0	 1028.43	  136.25	506	570	  892.18	508	361
AywGo	38	30	1	 1475.46	  252.47	515	566	 1222.99	0	0
AywGo	39	8	0	  772.73	  204.74	511	567	  568.00	515	363
AywGo	40	29	0	  838.29	   54.19	510	570	  784.10	507	362
AywGo	41	19	0	  669.93	  238.53	512	569	  431.40	510	362
AywGo	42	3	0	 1020.62	  292.63	511	570	  727.99	508	364
AywGo	43	28	0	  690.62	  163.51	511	566	  527.11	510	350
AywGo	44	17	0	  688.91	  257.22	512	562	  431.69	504	362
AywGo	45	6	0	  965.80	  229.91	511	561	  735.90	505	359
AywGo	46	28	0	  816.89	  265.17	513	565	  551.72	507	365
AywGo	47	15	0	 1096.00	  375.70	512	569	  720.30	517	355
AywGo	48	21	0	  875.34	    5.08	507	567	  870.26	510	354
AywGo	49	17	0	  906.53	  266.48	505	564	  640.04	515	359
AywGo	50	38	0	  956.90	  277.49	520	563	  679.41	518	363
AywGo	51	35	0	 1085.80	  183.11	516	567	  902.69	516	361
AywGo	52	44	0	  928.79	   49.53	537	567	  879.26	511	357
AywGo	53	31	0	  742.24	  196.91	516	569	  545.33	507	369
AywGo	54	25	0	  768.67	  233.92	515	565	  534.75	511	367
AywGo	55	25	0	  918.78	  198.02	517	568	  720.75	516	354
AywGo	56	20	0	 1018.39	  386.40	512	564	  631.99	516	360
AywGo	57	42	0	  880.03	    0.78	510	567	  879.24	516	360
AywGo	58	33	0	  939.96	  277.47	510	569	  662.50	507	362
AywGo	59	12	0	 1039.98	  214.51	516	567	  825.47	512	360
AywGo	60	22	0	  628.89	   52.29	511	570	  576.60	509	368
AywGo	61	11	0	 1109.21	  260.66	517	563	  848.56	513	353
AywGo	62	40	0	 1055.76	  408.54	538	556	  647.22	512	363
AywGo	63	15	0	 1100.50	  300.42	513	567	  800.08	514	356
AywGo	64	26	0	 1174.87	  367.34	513	563	  807.53	517	359
AywGo	65	43	0	 1334.90	  214.98	485	570	 1119.92	513	359
AywGo	66	45	0	 1028.80	  323.32	511	567	  705.49	512	354
AywGo	67	36	0	  803.52	  267.71	509	562	  535.81	515	353
AywGo	68	10	0	  739.82	  227.54	514	569	  512.28	519	359
AywGo	69	32	0	  933.24	  206.16	506	566	  727.08	512	359
AywGo	70	46	0	 1048.31	  273.32	499	563	  774.99	506	362
AywGo	71	36	0	  773.11	  222.66	512	570	  550.44	514	361
AywGo	72	24	0	  695.69	  239.92	512	567	  455.77	508	355
AywGo	73	43	0	  708.35	  204.44	523	569	  503.91	507	356
AywGo	74	23	0	 1057.97	  312.67	509	562	  745.30	501	355
AywGo	75	12	0	  901.83	  254.27	521	562	  647.56	502	358
AywGo	76	30	0	  778.77	  202.28	519	570	  576.49	506	353
AywGo	77	20	0	  676.42	    0.77	508	565	  675.64	508	363
AywGo	78	16	0	  803.37	   83.41	515	569	  719.96	511	356
AywGo	79	34	0	  843.82	  260.41	511	564	  583.41	519	359
AywGo	80	3	0	  866.71	  227.13	505	562	  639.59	499	350
AywGo	81	39	0	  916.62	  255.08	514	569	  661.54	515	362
AywGo	82	21	0	 1049.86	  243.49	528	570	  806.36	516	358
AywGo	83	38	0	  889.76	    0.78	512	563	  888.98	515	361
AywGo	84	42	0	  836.97	   45.42	500	570	  791.55	508	354
AywGo	85	4	0	  803.82	  285.41	509	564	  518.41	522	362
AywGo	86	16	0	  946.57	    0.78	515	570	  945.79	516	356
AywGo	87	31	0	  990.03	  206.06	453	564	  783.97	507	355
AywGo	88	22	0	  884.73	  204.58	509	570	  680.15	510	360
AywGo	89	34	0	 1238.96	  536.40	564	554	  702.56	518	352
AywGo	90	5	0	  962.42	  434.09	519	565	  528.33	504	353
AywGo	91	19	0	  763.78	  236.28	528	562	  527.51	501	351
AywGo	92	10	0	  917.79	  342.53	509	570	  575.25	513	370
AywGo	93	14	0	  744.77	  233.31	521	563	  511.46	518	352
AywGo	94	11	0	  603.93	    3.02	512	569	  600.91	512	360
AywGo	95	41	0	  787.72	   18.14	508	570	  769.58	506	360
AywGo	96	13	0	  796.25	  212.42	502	568	  583.83	512	363
