ID	trialnr	pic_nr	timeover	RT_total	RT_planung	control_planning_x	control_planning_y	RT_movement	posx	posy
KatKo	1	2	0	  893.50	  294.51	512	570	  598.99	503	344
KatKo	2	13	1	 1475.16	  298.56	499	568	 1176.60	0	0
KatKo	3	3	0	  681.84	  322.12	511	569	  359.71	530	326
KatKo	4	26	0	  951.67	  271.02	528	566	  680.66	500	348
KatKo	5	30	0	 1296.23	  361.34	509	570	  934.89	503	360
KatKo	6	48	0	  788.06	   13.42	517	569	  774.64	500	359
KatKo	7	8	0	 1037.51	  254.66	515	565	  782.86	503	362
KatKo	8	10	0	  804.42	  211.42	523	569	  593.00	505	369
KatKo	9	41	0	 1315.29	  267.35	510	565	 1047.95	507	356
KatKo	10	29	0	  973.26	  366.03	510	570	  607.23	497	355
KatKo	11	23	0	  911.23	   13.73	518	567	  897.50	510	344
KatKo	12	16	0	  746.53	  257.40	497	569	  489.13	539	352
KatKo	13	3	0	  950.19	  213.62	509	566	  736.57	497	366
KatKo	14	10	0	  974.98	  125.88	500	569	  849.10	513	364
KatKo	15	11	0	  631.48	   31.11	513	566	  600.36	507	353
KatKo	16	36	0	  653.22	  204.84	512	567	  448.38	515	363
KatKo	17	34	0	  517.00	   11.34	514	570	  505.66	512	312
KatKo	18	19	0	  744.82	  232.00	510	568	  512.82	509	370
KatKo	19	5	0	  650.75	  148.44	512	569	  502.31	509	360
KatKo	20	33	0	  769.44	  291.01	512	570	  478.44	509	371
KatKo	21	46	0	  661.33	   85.23	509	568	  576.10	501	362
KatKo	22	45	0	  798.04	  215.22	510	568	  582.82	507	345
KatKo	23	24	0	  574.29	    0.77	511	569	  573.51	497	346
KatKo	24	35	0	  696.71	  281.70	513	567	  415.01	506	350
KatKo	25	21	0	  590.56	   70.42	511	570	  520.14	514	347
KatKo	26	40	0	  528.05	    0.77	513	566	  527.28	501	383
KatKo	27	38	0	  787.21	  156.19	523	570	  631.02	512	347
KatKo	28	20	0	  645.73	    0.78	511	567	  644.95	513	352
KatKo	29	24	0	  731.54	    0.80	518	568	  730.73	503	361
KatKo	30	20	0	  734.01	    0.77	519	562	  733.23	499	353
KatKo	31	41	0	 1105.13	  241.96	515	567	  863.17	508	355
KatKo	32	1	0	  733.28	    5.10	511	568	  728.18	501	356
KatKo	33	7	0	  728.70	    0.77	510	559	  727.93	497	375
KatKo	34	28	0	  594.65	    0.78	514	570	  593.88	503	369
KatKo	35	22	0	  885.91	   13.45	513	570	  872.45	500	352
KatKo	36	45	0	  709.89	    5.07	518	570	  704.82	507	351
KatKo	37	18	0	  753.27	    9.19	505	566	  744.08	508	354
KatKo	38	25	0	  939.58	  331.76	505	564	  607.81	498	367
KatKo	39	47	0	 1109.53	  246.00	517	570	  863.53	499	342
KatKo	40	17	0	  657.84	   32.67	510	566	  625.17	514	365
KatKo	41	2	0	  576.20	    0.79	505	561	  575.41	490	344
KatKo	42	39	0	  897.84	   81.22	514	569	  816.62	501	354
KatKo	43	44	0	  550.04	    5.10	512	568	  544.94	492	348
KatKo	44	29	0	  672.34	  151.91	514	565	  520.43	505	347
KatKo	45	30	0	  486.02	   15.60	515	568	  470.42	519	363
KatKo	46	32	0	  771.72	  204.83	504	567	  566.89	500	365
KatKo	47	12	0	  702.52	  221.92	514	564	  480.59	508	364
KatKo	48	37	0	  658.38	  227.66	505	569	  430.72	501	364
KatKo	49	27	0	  577.41	   24.49	509	570	  552.92	516	360
KatKo	50	15	0	  643.24	    9.65	511	568	  633.59	511	348
KatKo	51	37	0	  930.14	    0.95	513	569	  929.20	513	347
KatKo	52	40	0	  669.55	    0.78	519	558	  668.78	481	347
KatKo	53	25	0	  850.11	    2.99	514	563	  847.12	508	349
KatKo	54	43	0	 1185.99	    9.08	515	565	 1176.90	502	356
KatKo	55	26	0	  880.83	  257.54	513	561	  623.29	493	359
KatKo	56	42	0	  565.85	   13.67	514	569	  552.18	493	370
KatKo	57	23	0	  656.24	    0.75	510	567	  655.49	502	342
KatKo	58	16	0	  709.50	  254.84	514	565	  454.66	504	347
KatKo	59	12	0	  458.13	   49.67	512	566	  408.45	510	338
KatKo	60	35	0	  488.23	   41.77	510	567	  446.46	506	372
KatKo	61	4	0	  495.39	    7.13	519	570	  488.27	515	355
KatKo	62	39	0	  485.01	   28.52	516	565	  456.48	492	358
KatKo	63	7	0	  850.89	   50.13	514	570	  800.77	502	354
KatKo	64	19	0	  688.28	  208.18	483	568	  480.10	508	365
KatKo	65	6	0	  636.55	    5.10	510	570	  631.45	506	357
KatKo	66	14	0	  820.63	  164.91	498	568	  655.73	493	359
KatKo	67	13	0	  794.32	  347.37	509	566	  446.95	520	366
KatKo	68	22	0	 1130.96	   28.41	512	569	 1102.55	501	356
KatKo	69	17	0	  957.61	  198.29	503	569	  759.32	506	358
KatKo	70	43	0	 1009.21	  280.40	510	567	  728.81	496	360
KatKo	71	38	0	  839.18	  344.93	516	567	  494.25	502	350
KatKo	72	15	0	  575.09	    0.76	513	570	  574.33	514	375
KatKo	73	1	0	 1175.39	  104.55	511	570	 1070.84	507	349
KatKo	74	11	0	  690.18	  152.84	512	570	  537.35	506	372
KatKo	75	14	0	 1045.83	  382.72	512	562	  663.11	514	358
KatKo	76	27	0	  628.18	   85.29	503	569	  542.90	506	343
KatKo	77	28	0	  685.05	    5.14	510	565	  679.91	514	362
KatKo	78	8	0	  657.01	    9.23	510	569	  647.78	503	351
KatKo	79	5	1	 1475.44	  831.50	520	551	  643.94	0	0
KatKo	80	9	1	 1475.49	  831.50	520	551	  643.99	0	0
KatKo	81	34	0	  776.75	  321.89	531	564	  454.87	519	358
KatKo	82	21	0	 1314.78	  722.54	499	568	  592.23	508	360
KatKo	83	32	0	  781.98	  285.61	505	564	  496.37	505	334
KatKo	84	18	0	  557.34	   22.21	509	570	  535.13	497	370
KatKo	85	6	0	  479.95	    0.78	510	557	  479.18	507	333
KatKo	86	33	0	  687.40	   39.46	502	568	  647.94	503	358
KatKo	87	36	0	  884.16	  331.64	513	568	  552.51	516	368
KatKo	88	46	0	  656.54	  231.73	515	569	  424.81	504	354
KatKo	89	47	0	  535.50	   39.55	507	570	  495.95	502	351
KatKo	90	4	0	  562.90	  106.45	517	570	  456.45	502	342
KatKo	91	44	0	  453.12	   28.78	512	569	  424.34	497	363
KatKo	92	9	0	  763.13	    3.00	514	568	  760.13	507	354
KatKo	93	31	0	  494.30	   94.06	509	568	  400.25	493	359
KatKo	94	48	0	  731.87	  132.86	507	568	  599.01	502	357
KatKo	95	31	0	  766.66	  359.01	553	558	  407.66	519	369
KatKo	96	42	0	  479.70	    0.81	512	568	  478.89	493	368
