ID	trialnr	pic_nr	timeover	RT_total	RT_planung	control_planning_x	control_planning_y	RT_movement	posx	posy
Nr1	1	36	0	 1089.00	    0.78	531	561	 1088.23	511	351
Nr1	2	22	1	 1475.15	  332.78	514	569	 1142.37	0	0
Nr1	3	41	0	  846.62	  206.12	516	569	  640.50	511	354
Nr1	4	2	0	  917.71	  244.33	485	570	  673.38	502	348
Nr1	5	17	0	  871.23	  206.28	515	567	  664.96	507	351
Nr1	6	14	0	  739.48	   18.19	516	566	  721.29	527	351
Nr1	7	32	0	 1317.75	   45.66	509	567	 1272.09	514	353
Nr1	8	1	0	  905.27	  241.36	512	566	  663.91	505	349
Nr1	9	47	0	  907.32	  210.47	515	565	  696.86	505	351
Nr1	10	34	0	 1015.52	   87.64	513	570	  927.88	521	346
Nr1	11	9	0	  911.77	  214.43	511	566	  697.34	517	350
Nr1	12	23	0	  803.29	    2.98	514	566	  800.30	507	347
Nr1	13	48	0	  762.43	    9.43	514	568	  753.00	500	353
Nr1	14	25	0	  972.01	   20.12	515	570	  951.88	512	350
Nr1	15	17	0	  949.64	  197.71	513	570	  751.93	507	355
Nr1	16	31	0	 1200.60	  224.68	521	567	  975.92	515	360
Nr1	17	6	0	 1160.34	   95.81	512	567	 1064.54	509	351
Nr1	18	7	0	  817.82	   32.88	516	569	  784.94	503	360
Nr1	19	2	0	  840.40	  152.44	517	564	  687.95	497	347
Nr1	20	28	0	 1398.14	  597.38	516	564	  800.76	510	357
Nr1	21	20	0	 1262.27	    0.77	514	564	 1261.50	516	355
Nr1	22	46	0	 1131.25	  203.08	508	569	  928.17	509	352
Nr1	23	30	0	 1261.30	  419.81	522	566	  841.50	516	346
Nr1	24	28	0	  778.30	  225.48	514	564	  552.82	514	351
Nr1	25	40	0	 1450.57	  275.54	511	563	 1175.03	514	346
Nr1	26	42	1	 1475.18	  215.20	515	567	 1259.99	0	0
Nr1	27	48	0	 1065.39	  224.84	498	562	  840.55	510	355
Nr1	28	27	0	  997.99	  238.23	512	569	  759.76	510	356
Nr1	29	10	0	 1238.51	  231.28	515	562	 1007.23	513	354
Nr1	30	40	0	 1260.64	  237.38	515	568	 1023.26	518	350
Nr1	31	13	0	 1193.59	  395.19	523	559	  798.40	517	352
Nr1	32	16	0	 1026.66	  162.71	515	563	  863.95	512	348
Nr1	33	44	0	  969.75	  209.36	513	565	  760.39	513	357
Nr1	34	18	1	 1475.48	   26.56	514	570	 1448.92	0	0
Nr1	35	23	0	 1067.85	  220.87	516	568	  846.97	509	350
Nr1	36	32	1	 1475.56	  185.19	511	567	 1290.37	0	0
Nr1	37	43	0	  889.95	  211.16	514	567	  678.79	509	355
Nr1	38	10	0	  767.67	  183.73	514	568	  583.93	525	348
Nr1	39	15	0	 1049.07	  480.35	521	560	  568.72	523	350
Nr1	40	41	0	 1293.98	  239.63	505	564	 1054.35	510	345
Nr1	41	26	0	  971.96	  202.50	512	570	  769.46	504	352
Nr1	42	35	0	 1355.77	  253.01	518	570	 1102.76	514	352
Nr1	43	21	0	  989.00	  238.52	517	564	  750.48	514	352
Nr1	44	5	0	  982.04	  223.05	513	565	  758.99	506	355
Nr1	45	37	0	  920.35	  246.78	517	570	  673.57	518	348
Nr1	46	46	0	 1146.43	  210.42	510	569	  936.01	507	346
Nr1	47	45	0	 1137.77	  248.40	511	570	  889.37	503	355
Nr1	48	24	0	 1211.80	  227.38	512	565	  984.43	519	348
Nr1	49	31	0	 1187.29	  267.36	511	567	  919.93	509	343
Nr1	50	43	0	 1051.15	  252.31	528	564	  798.83	513	360
Nr1	51	30	0	 1081.51	  233.73	508	566	  847.78	511	353
Nr1	52	1	0	 1301.35	  231.13	512	561	 1070.23	505	355
Nr1	53	21	0	  944.86	  224.96	514	565	  719.89	507	356
Nr1	54	12	0	 1132.09	  228.17	512	570	  903.92	514	348
Nr1	55	18	0	 1031.68	  215.55	515	566	  816.14	509	355
Nr1	56	38	0	 1142.89	  237.47	509	568	  905.42	516	347
Nr1	57	4	0	 1177.42	  216.61	512	567	  960.80	511	351
Nr1	58	27	0	 1160.04	  249.75	515	570	  910.29	514	359
Nr1	59	20	0	 1106.30	  178.19	523	567	  928.11	513	354
Nr1	60	39	0	 1207.33	  198.57	509	566	 1008.76	523	347
Nr1	61	11	0	  966.73	  189.44	503	569	  777.29	516	363
Nr1	62	47	0	 1255.66	  255.10	507	565	 1000.57	512	362
Nr1	63	8	0	 1244.65	  211.64	517	565	 1033.01	503	345
Nr1	64	4	0	  994.58	   34.80	512	570	  959.78	510	350
Nr1	65	3	0	 1354.89	  250.48	509	567	 1104.41	504	354
Nr1	66	39	0	 1259.84	  252.00	512	570	 1007.85	512	358
Nr1	67	16	1	 1475.21	  273.14	511	569	 1202.07	0	0
Nr1	68	13	0	 1042.27	   43.47	512	568	  998.80	512	349
Nr1	69	6	1	 1475.14	  180.19	514	570	 1294.95	0	0
Nr1	70	26	0	 1090.22	  251.09	516	562	  839.13	509	353
Nr1	71	25	0	 1141.59	  263.03	512	568	  878.55	506	357
Nr1	72	22	0	  881.27	  193.69	515	570	  687.59	509	362
Nr1	73	8	0	 1413.57	  235.81	516	566	 1177.77	504	348
Nr1	74	15	0	 1010.00	  210.43	514	569	  799.57	515	347
Nr1	75	9	0	 1098.54	  204.09	513	568	  894.45	511	347
Nr1	76	42	0	  822.37	  222.82	511	570	  599.55	512	369
Nr1	77	29	0	 1054.88	  221.59	513	570	  833.29	505	357
Nr1	78	35	0	 1059.53	  236.21	510	569	  823.32	504	361
Nr1	79	44	0	  841.39	  208.30	517	568	  633.08	508	349
Nr1	80	11	0	  776.26	  239.37	512	566	  536.90	518	354
Nr1	81	7	0	  968.92	  217.42	510	564	  751.50	505	353
Nr1	82	33	0	  946.61	  188.24	519	564	  758.38	507	351
Nr1	83	29	0	  742.53	  207.12	514	566	  535.41	498	353
Nr1	84	45	0	  996.33	  252.17	512	569	  744.16	508	359
Nr1	85	3	0	  909.61	  261.86	508	569	  647.75	504	350
Nr1	86	38	0	  977.47	  200.53	507	556	  776.94	520	356
Nr1	87	19	0	 1242.77	  409.50	518	569	  833.27	517	352
Nr1	88	24	0	  768.18	  192.06	506	569	  576.12	506	351
Nr1	89	19	0	  834.73	  202.01	508	570	  632.72	512	356
Nr1	90	5	0	  945.11	  216.72	508	568	  728.38	507	357
Nr1	91	36	0	  772.20	  219.02	517	566	  553.19	498	355
Nr1	92	33	0	 1229.58	  181.50	520	567	 1048.08	513	341
Nr1	93	34	0	 1123.56	  227.25	515	565	  896.31	516	353
Nr1	94	14	0	  774.61	  222.60	512	563	  552.01	513	368
Nr1	95	37	0	  896.50	  216.44	511	569	  680.07	514	352
Nr1	96	12	0	 1028.94	  220.76	514	568	  808.18	509	352
