ID	trialnr	pic_nr	timeover	RT_total	RT_planung	control_planning_x	control_planning_y	RT_movement	posx	posy
JulEn	1	28	0	  499.79	  284.05	513	562	  215.74	619	11
JulEn	2	29	0	  944.67	  305.14	512	568	  639.53	509	361
JulEn	3	40	0	  754.47	  250.17	513	568	  504.29	523	349
JulEn	4	30	0	  813.39	  277.06	508	566	  536.33	508	361
JulEn	5	21	0	 1116.39	  221.09	512	566	  895.30	502	346
JulEn	6	14	0	 1447.65	  239.94	513	570	 1207.71	515	362
JulEn	7	11	0	 1053.90	  277.64	516	569	  776.25	514	348
JulEn	8	17	0	 1018.32	  123.70	514	569	  894.62	511	364
JulEn	9	43	0	  922.77	  258.89	514	564	  663.88	503	347
JulEn	10	15	0	  742.61	  215.54	513	568	  527.08	517	358
JulEn	11	18	0	  945.71	  257.52	512	568	  688.19	511	360
JulEn	12	46	0	  683.89	  250.41	509	567	  433.48	509	369
JulEn	13	44	0	  855.58	  271.46	513	569	  584.12	506	364
JulEn	14	33	0	  981.12	  252.92	512	570	  728.20	516	359
JulEn	15	22	0	  974.51	  223.44	509	568	  751.07	504	350
JulEn	16	27	0	  928.91	    9.29	508	564	  919.62	505	352
JulEn	17	23	0	  858.72	  258.73	512	566	  600.00	501	365
JulEn	18	9	0	  897.38	  240.71	512	569	  656.67	510	361
JulEn	19	26	0	  723.55	    0.81	507	564	  722.73	506	345
JulEn	20	2	1	 1475.16	   70.81	515	568	 1404.35	0	0
JulEn	21	12	0	  863.87	  263.31	512	566	  600.56	516	366
JulEn	22	32	0	  851.98	  227.49	506	570	  624.49	499	350
JulEn	23	35	0	  969.72	  201.80	516	570	  767.92	510	353
JulEn	24	47	0	 1257.91	  250.56	512	569	 1007.35	506	358
JulEn	25	31	0	 1007.48	  239.54	510	568	  767.94	506	358
JulEn	26	16	0	 1105.17	  280.37	512	570	  824.80	505	354
JulEn	27	44	0	  860.01	  267.86	512	566	  592.16	504	368
JulEn	28	19	0	  954.74	  241.80	512	567	  712.94	505	351
JulEn	29	42	0	  770.82	  154.56	510	569	  616.27	506	354
JulEn	30	40	0	 1068.38	  236.11	512	570	  832.27	506	367
JulEn	31	4	0	 1215.70	  255.51	513	567	  960.18	503	357
JulEn	32	30	0	  924.96	  261.13	513	569	  663.82	504	370
JulEn	33	16	0	  736.59	  257.68	514	565	  478.91	505	359
JulEn	34	39	0	  963.26	  235.45	513	565	  727.81	509	362
JulEn	35	42	0	 1148.79	  269.52	514	570	  879.27	508	356
JulEn	36	10	0	  910.00	  206.39	511	567	  703.61	510	361
JulEn	37	2	0	  968.37	   32.98	509	570	  935.39	496	353
JulEn	38	47	0	 1049.79	  225.73	512	567	  824.06	506	365
JulEn	39	20	0	 1409.56	  273.41	512	569	 1136.14	511	359
JulEn	40	14	0	 1024.43	  231.03	512	566	  793.40	518	360
JulEn	41	25	0	  992.06	  192.27	516	569	  799.79	516	359
JulEn	42	43	0	 1064.14	  287.97	512	570	  776.17	507	357
JulEn	43	25	0	 1332.86	  308.95	512	564	 1023.91	508	352
JulEn	44	46	0	 1199.84	  197.99	516	570	 1001.85	511	360
JulEn	45	1	1	 1475.42	  286.64	514	568	 1188.77	0	0
JulEn	46	7	0	  920.17	  262.85	514	565	  657.32	501	348
JulEn	47	32	0	 1121.39	  249.15	513	564	  872.24	500	357
JulEn	48	41	0	 1252.27	  221.36	513	570	 1030.91	502	354
JulEn	49	37	0	 1186.59	  297.53	509	569	  889.06	514	366
JulEn	50	8	0	 1249.72	  281.55	511	567	  968.18	492	361
JulEn	51	13	0	 1055.78	  231.29	513	567	  824.49	518	352
JulEn	52	48	0	 1180.91	  260.85	513	569	  920.06	510	348
JulEn	53	1	0	 1093.93	  252.83	512	570	  841.11	495	354
JulEn	54	19	0	 1248.26	  330.05	512	566	  918.21	508	347
JulEn	55	38	0	  951.23	  238.39	513	570	  712.85	511	364
JulEn	56	20	0	 1416.40	  288.14	512	568	 1128.25	510	362
JulEn	57	38	0	 1336.17	  263.33	510	569	 1072.84	508	354
JulEn	58	11	0	 1193.49	  296.53	513	568	  896.96	510	363
JulEn	59	12	0	 1178.19	  344.42	510	567	  833.76	503	363
