ID	trialnr	pic_nr	timeover	RT_total	RT_planung	control_planning_x	control_planning_y	RT_movement	posx	posy
AnKDe	1	47	0	 1173.02	  309.74	511	570	  863.28	502	345
AnKDe	2	20	0	  941.34	  325.56	515	565	  615.78	504	365
AnKDe	3	14	0	 1150.10	  357.53	517	568	  792.57	512	354
AnKDe	4	17	0	 1078.51	  296.34	521	564	  782.17	502	350
AnKDe	5	30	0	  931.39	  267.51	514	565	  663.89	498	352
AnKDe	6	44	0	  949.43	  277.97	515	568	  671.46	504	372
AnKDe	7	3	0	 1126.87	  390.22	517	569	  736.65	516	358
AnKDe	8	38	0	 1200.98	  271.46	512	568	  929.52	508	369
AnKDe	9	15	0	 1199.18	  272.11	522	565	  927.06	518	353
AnKDe	10	36	1	 1475.34	  501.26	515	564	  974.07	0	0
AnKDe	11	46	0	  820.64	  260.58	517	568	  560.06	517	361
AnKDe	12	14	0	 1435.00	  283.66	516	566	 1151.34	516	359
AnKDe	13	33	0	  951.41	  319.80	516	567	  631.61	514	351
AnKDe	14	40	0	  881.22	  290.14	516	569	  591.09	505	368
AnKDe	15	42	0	  933.47	  277.38	518	567	  656.09	511	343
AnKDe	16	36	0	  887.58	  239.71	515	561	  647.86	514	371
AnKDe	17	7	0	 1043.89	  355.33	513	566	  688.56	516	348
AnKDe	18	37	0	  968.43	  424.72	520	560	  543.71	518	362
AnKDe	19	26	0	  888.72	  304.96	523	563	  583.76	513	358
AnKDe	20	5	0	  931.89	  260.62	521	568	  671.26	508	366
AnKDe	21	19	0	  774.95	  311.18	523	566	  463.77	523	353
AnKDe	22	35	0	 1088.36	  552.99	527	550	  535.37	510	368
AnKDe	23	16	0	 1004.27	  242.98	512	567	  761.29	518	370
AnKDe	24	8	0	 1009.68	  274.16	514	565	  735.53	508	367
AnKDe	25	17	0	  978.36	    9.59	503	567	  968.77	515	362
AnKDe	26	3	0	  905.28	  281.91	513	564	  623.38	506	352
AnKDe	27	39	0	  892.35	  348.02	510	570	  544.33	512	366
AnKDe	28	45	0	  755.59	  252.76	497	570	  502.82	511	365
AnKDe	29	11	0	  901.37	  220.85	519	566	  680.52	517	368
AnKDe	30	10	0	 1049.28	  264.68	514	569	  784.60	516	348
AnKDe	31	38	0	 1117.16	  302.45	518	567	  814.72	516	366
AnKDe	32	41	0	  951.21	  229.80	512	569	  721.41	502	352
AnKDe	33	40	0	 1039.35	  239.60	518	568	  799.75	510	352
AnKDe	34	31	0	  756.45	  268.97	511	568	  487.48	508	363
AnKDe	35	24	0	  926.12	   45.92	515	570	  880.20	522	360
AnKDe	36	10	0	  976.77	  231.42	515	562	  745.35	511	366
AnKDe	37	28	0	 1201.58	  273.38	511	561	  928.20	503	352
AnKDe	38	29	0	 1103.06	  215.63	518	569	  887.43	506	358
AnKDe	39	25	0	 1113.20	  249.20	522	564	  864.01	503	360
AnKDe	40	43	1	 1475.26	  261.14	519	566	 1214.12	0	0
AnKDe	41	29	0	 1004.19	  396.66	505	557	  607.53	507	363
AnKDe	42	30	0	  851.72	  243.72	513	566	  608.00	504	361
AnKDe	43	45	0	 1149.38	  371.65	519	568	  777.74	506	360
AnKDe	44	1	0	  755.57	  269.33	519	565	  486.24	503	361
AnKDe	45	46	0	  861.36	  317.21	508	564	  544.16	505	348
AnKDe	46	8	0	  859.50	  219.80	510	566	  639.69	501	366
AnKDe	47	25	0	  897.05	  296.33	518	566	  600.72	515	366
AnKDe	48	33	0	  748.27	  242.79	513	570	  505.48	496	360
AnKDe	49	22	0	 1091.33	  292.82	516	566	  798.51	497	346
AnKDe	50	20	0	 1135.90	  327.95	509	570	  807.95	515	352
AnKDe	51	6	0	  991.87	  287.91	512	569	  703.96	475	342
AnKDe	52	48	0	  793.28	  304.42	506	564	  488.86	513	361
AnKDe	53	21	0	  960.23	  321.02	516	564	  639.21	509	361
AnKDe	54	6	0	  952.55	  329.71	511	569	  622.85	497	361
AnKDe	55	26	0	  971.00	  363.17	533	561	  607.83	514	364
AnKDe	56	12	0	 1082.39	  258.93	517	563	  823.46	502	364
AnKDe	57	19	0	 1134.12	  174.79	506	569	  959.33	506	356
AnKDe	58	18	0	  862.90	    0.83	513	550	  862.07	503	356
AnKDe	59	9	0	 1099.87	  308.65	521	565	  791.21	523	355
AnKDe	60	7	0	 1238.86	  240.23	512	563	  998.63	508	363
AnKDe	61	34	1	 1475.56	  612.58	517	567	  862.98	0	0
AnKDe	62	35	0	 1132.50	  315.06	511	570	  817.44	512	366
AnKDe	63	47	0	  876.27	  300.84	525	569	  575.42	500	362
AnKDe	64	24	0	  760.82	  248.48	519	564	  512.33	513	368
AnKDe	65	21	0	 1034.75	  258.61	516	563	  776.14	502	342
AnKDe	66	34	0	  839.42	  248.30	520	570	  591.13	512	370
AnKDe	67	5	0	 1022.99	  445.44	519	565	  577.55	510	366
AnKDe	68	28	0	  892.48	  348.48	511	563	  544.00	508	362
AnKDe	69	12	0	 1127.67	  279.59	512	565	  848.08	508	359
AnKDe	70	23	0	 1081.29	  249.10	509	568	  832.19	523	361
AnKDe	71	37	0	  773.19	  213.34	503	569	  559.85	497	365
AnKDe	72	1	0	  702.75	  246.62	514	567	  456.13	506	349
AnKDe	73	48	0	  851.21	  218.73	515	564	  632.48	512	358
AnKDe	74	2	0	  727.36	  144.98	508	570	  582.39	507	349
AnKDe	75	43	0	  947.20	   51.94	515	570	  895.26	503	353
AnKDe	76	15	0	 1236.35	  277.10	512	564	  959.25	526	362
AnKDe	77	39	0	 1072.40	  256.86	512	570	  815.53	510	360
AnKDe	78	13	0	  907.08	  212.59	518	567	  694.49	518	346
AnKDe	79	32	0	  814.59	  175.70	508	568	  638.90	502	360
AnKDe	80	32	0	  954.31	  218.79	516	567	  735.52	514	359
AnKDe	81	18	0	  914.45	  252.12	518	563	  662.33	516	353
AnKDe	82	27	1	 1475.45	  308.91	514	565	 1166.54	0	0
AnKDe	83	31	0	  883.83	  227.66	512	570	  656.17	506	351
AnKDe	84	42	0	  903.26	  265.01	516	568	  638.25	513	361
AnKDe	85	41	0	  796.11	  298.79	499	569	  497.32	510	359
AnKDe	86	23	0	  731.44	  306.95	513	566	  424.50	517	353
AnKDe	87	9	0	  821.59	  310.00	512	565	  511.59	517	362
AnKDe	88	22	0	 1117.01	  397.53	515	569	  719.48	510	360
AnKDe	89	13	0	  894.82	  285.85	517	562	  608.97	508	343
AnKDe	90	11	0	  858.61	  257.08	516	569	  601.53	507	366
AnKDe	91	2	0	  959.58	  327.66	515	564	  631.92	497	347
AnKDe	92	4	0	  928.24	  272.03	515	566	  656.21	515	369
AnKDe	93	4	0	  846.86	  238.30	507	570	  608.56	502	360
AnKDe	94	16	0	  891.66	  275.99	520	561	  615.67	508	370
AnKDe	95	27	0	  855.59	  254.85	521	570	  600.74	509	345
AnKDe	96	44	0	  884.71	  315.31	511	565	  569.40	510	364
