ID	trialnr	pic_nr	timeover	RT_total	RT_planung	control_planning_x	control_planning_y	RT_movement	posx	posy
Ma	1	43	0	  974.27	  431.09	511	569	  543.18	498	360
Ma	2	46	0	 1144.22	  392.12	512	567	  752.09	507	361
Ma	3	39	0	  968.74	  312.99	507	569	  655.75	511	371
Ma	4	25	0	  825.62	  226.00	510	566	  599.62	510	358
Ma	5	9	0	  975.37	  264.58	512	569	  710.79	508	356
Ma	6	17	0	 1040.09	  304.43	509	569	  735.66	496	359
Ma	7	38	0	  797.83	  261.82	518	565	  536.02	506	356
Ma	8	38	0	 1081.52	  329.26	519	566	  752.27	508	368
Ma	9	18	0	  798.74	  231.13	513	568	  567.62	503	360
Ma	10	31	0	  942.10	  275.99	516	567	  666.11	504	365
Ma	11	31	0	  706.96	  257.47	521	566	  449.49	514	368
Ma	12	19	0	  900.97	  262.84	512	568	  638.13	506	360
Ma	13	10	0	  872.27	  280.39	516	565	  591.88	507	368
Ma	14	42	0	  762.69	  243.63	518	564	  519.07	499	349
Ma	15	5	0	 1012.07	  301.18	511	566	  710.89	505	360
Ma	16	3	0	  806.80	  230.27	516	569	  576.52	503	362
Ma	17	44	0	  806.89	  261.67	514	567	  545.22	502	363
Ma	18	42	0	  724.18	  244.47	521	568	  479.71	511	364
Ma	19	20	0	  710.50	  231.73	522	565	  478.77	506	364
Ma	20	4	0	  682.97	  281.81	516	570	  401.15	506	360
Ma	21	18	0	  702.99	  136.10	512	570	  566.89	500	356
Ma	22	41	0	  732.15	  219.31	520	570	  512.84	500	368
Ma	23	12	0	  692.94	  196.93	518	570	  496.02	502	363
Ma	24	30	0	  833.37	  273.51	512	567	  559.86	509	360
Ma	25	6	0	  824.73	  231.60	514	569	  593.13	502	362
Ma	26	37	0	  767.07	  317.67	512	566	  449.40	500	365
Ma	27	40	0	  750.90	  239.63	521	567	  511.28	509	369
Ma	28	32	0	  832.44	  256.21	510	562	  576.23	507	361
Ma	29	1	0	  757.34	  244.55	511	567	  512.79	494	367
Ma	30	3	0	  701.97	  183.14	523	565	  518.84	494	372
Ma	31	15	0	  753.58	  241.60	521	563	  511.98	516	368
Ma	32	47	0	  723.20	  252.71	519	562	  470.49	499	365
Ma	33	45	0	  763.23	  323.60	514	569	  439.63	497	376
Ma	34	37	0	  772.12	  292.27	520	568	  479.85	504	356
Ma	35	16	0	  780.26	  244.01	517	569	  536.25	501	365
Ma	36	26	0	  788.58	  340.24	523	566	  448.34	507	365
Ma	37	24	0	  844.90	  301.02	514	568	  543.87	505	362
Ma	38	27	0	 1050.51	  282.29	515	563	  768.22	496	346
Ma	39	27	0	  786.90	  258.55	524	562	  528.35	519	366
Ma	40	19	0	 1027.73	  251.99	512	566	  775.74	508	363
Ma	41	6	0	  879.72	  273.46	518	570	  606.26	494	372
Ma	42	44	0	  981.40	  388.63	523	567	  592.77	512	354
Ma	43	7	0	  941.04	  292.48	511	568	  648.56	496	360
Ma	44	48	0	  934.76	  303.42	519	565	  631.34	495	365
Ma	45	15	0	  993.98	  313.15	517	566	  680.83	508	362
Ma	46	29	0	 1105.58	  377.63	515	568	  727.95	500	364
Ma	47	8	0	  981.14	  294.88	518	567	  686.27	503	363
Ma	48	2	0	  846.64	  303.11	530	568	  543.53	502	361
Ma	49	2	0	  847.75	  248.11	517	568	  599.64	503	366
Ma	50	34	0	  959.97	  269.54	521	562	  690.43	505	365
Ma	51	34	0	 1116.89	  267.34	516	568	  849.55	503	360
Ma	52	36	0	  990.87	  317.48	521	562	  673.39	499	360
Ma	53	5	0	 1110.26	  294.41	520	564	  815.85	498	358
Ma	54	13	0	  914.93	  298.38	522	564	  616.55	516	370
Ma	55	11	0	  871.23	  246.56	509	567	  624.67	510	369
Ma	56	33	0	  811.06	  267.73	529	565	  543.33	509	363
Ma	57	16	0	  787.48	  258.93	503	564	  528.55	502	372
Ma	58	39	0	  917.49	  309.50	523	565	  607.99	508	360
Ma	59	48	0	  857.03	  248.66	512	567	  608.37	501	363
Ma	60	45	0	  754.14	  241.88	516	569	  512.26	503	367
Ma	61	24	0	  890.50	  306.42	522	566	  584.08	497	363
Ma	62	43	0	  702.27	  246.27	517	565	  456.00	509	367
Ma	63	22	0	  755.81	  314.78	512	569	  441.03	498	367
Ma	64	32	0	  901.34	  356.49	519	569	  544.85	504	368
Ma	65	30	0	  858.34	  258.93	516	565	  599.41	493	360
Ma	66	28	0	  975.67	  286.34	518	564	  689.33	498	357
Ma	67	40	0	  816.85	  265.28	520	568	  551.57	499	364
Ma	68	26	0	  816.60	  271.20	522	567	  545.40	500	366
Ma	69	13	0	  958.93	  326.37	512	567	  632.56	512	355
Ma	70	17	0	  824.17	  256.25	514	570	  567.92	506	364
Ma	71	25	0	  745.04	  265.03	517	564	  480.01	509	362
Ma	72	21	0	  778.63	  259.37	514	569	  519.26	500	363
Ma	73	1	0	  820.13	  267.77	513	566	  552.36	488	358
Ma	74	46	0	  969.97	  306.74	519	566	  663.24	505	365
Ma	75	8	0	  795.42	  252.06	514	569	  543.37	488	350
Ma	76	4	0	  869.26	  286.27	512	569	  582.99	514	361
Ma	77	22	0	 1242.33	  354.81	519	567	  887.52	513	359
Ma	78	41	0	  998.72	  359.62	514	569	  639.10	501	366
Ma	79	14	0	  808.55	  246.75	514	567	  561.80	511	355
Ma	80	7	0	  960.32	  304.65	515	570	  655.67	495	360
Ma	81	11	0	  929.24	  345.21	516	567	  584.03	506	363
Ma	82	10	0	  940.19	  325.12	513	569	  615.07	507	357
Ma	83	20	0	  967.47	  375.25	525	568	  592.22	499	363
Ma	84	35	0	  921.33	  329.58	516	568	  591.75	501	361
Ma	85	23	0	  877.28	  292.49	528	566	  584.78	502	363
Ma	86	29	0	  859.11	  258.34	516	566	  600.77	508	359
Ma	87	36	0	  944.11	  304.65	512	570	  639.46	497	353
Ma	88	47	0	 1186.71	  372.15	517	567	  814.56	496	365
Ma	89	35	0	  930.42	  315.95	517	569	  614.48	505	356
Ma	90	23	0	  789.37	  278.22	517	569	  511.15	494	363
Ma	91	12	0	  805.91	  278.10	512	568	  527.80	504	357
Ma	92	33	0	  870.62	  278.20	512	569	  592.42	511	362
Ma	93	9	0	  852.22	  308.67	512	569	  543.56	507	352
Ma	94	28	0	  841.20	  290.18	517	567	  551.02	499	360
Ma	95	14	0	 1081.54	  296.87	521	569	  784.67	510	353
Ma	96	21	0	  989.81	  365.22	515	567	  624.59	496	363
