ID	trialnr	pic_nr	timeover	RT_total	RT_planung	control_planning_x	control_planning_y	RT_movement	posx	posy
ThoKa	1	15	1	 1475.23	0	0	0	 1475.23	0	0
ThoKa	2	45	0	 1118.36	  282.24	510	564	  836.12	513	358
ThoKa	3	28	0	 1029.14	  299.49	512	569	  729.65	503	358
ThoKa	4	33	0	 1059.96	  243.93	518	569	  816.03	503	353
ThoKa	5	16	0	  936.91	  352.44	511	568	  584.47	514	361
ThoKa	6	42	0	 1043.20	  338.48	512	570	  704.72	508	371
ThoKa	7	38	0	  897.41	  309.37	505	570	  588.04	511	373
ThoKa	8	17	0	  892.98	  292.10	509	568	  600.88	514	368
ThoKa	9	43	0	 1096.09	  336.00	508	568	  760.10	510	346
ThoKa	10	35	0	  941.61	  269.38	514	569	  672.23	517	363
ThoKa	11	29	0	  935.63	  279.76	512	563	  655.87	501	352
ThoKa	12	10	0	  897.58	  273.68	511	565	  623.91	515	374
ThoKa	13	24	0	  989.91	  405.82	515	566	  584.10	522	364
ThoKa	14	46	0	  788.22	  261.45	509	570	  526.77	516	365
ThoKa	15	25	0	  965.21	  284.16	512	566	  681.05	516	369
ThoKa	16	48	0	  957.66	  173.26	517	569	  784.40	507	350
ThoKa	17	46	0	 1246.66	  278.59	499	566	  968.07	516	374
ThoKa	18	32	0	  988.84	  228.01	514	569	  760.83	518	363
ThoKa	19	9	0	  771.78	  244.29	508	567	  527.49	515	362
ThoKa	20	11	0	  925.56	   37.06	512	570	  888.51	519	377
ThoKa	21	6	0	  944.63	  111.05	511	569	  833.58	509	360
ThoKa	22	40	0	  818.40	  273.57	517	563	  544.83	511	374
ThoKa	23	27	0	  912.22	  265.66	512	569	  646.55	520	354
ThoKa	24	21	0	  964.09	  323.39	512	563	  640.70	512	368
ThoKa	25	5	0	  876.16	  123.75	509	570	  752.41	506	363
ThoKa	26	26	0	  961.68	  281.83	510	567	  679.85	514	363
ThoKa	27	41	0	  884.08	  314.91	511	561	  569.16	505	369
ThoKa	28	10	0	  775.49	  279.81	514	569	  495.67	521	362
ThoKa	29	31	0	 1184.57	  287.89	517	569	  896.67	505	370
ThoKa	30	15	0	  926.77	  390.28	512	569	  536.48	516	381
ThoKa	31	17	0	 1075.70	  347.15	512	565	  728.55	523	355
ThoKa	32	19	0	  872.60	  206.70	509	570	  665.90	511	374
ThoKa	33	14	0	  972.01	   20.41	512	570	  951.60	517	379
ThoKa	34	21	0	 1196.77	  204.73	515	568	  992.04	518	364
ThoKa	35	13	0	 1140.42	   83.16	513	569	 1057.26	522	362
ThoKa	36	28	0	 1437.01	  774.73	492	568	  662.28	516	348
ThoKa	37	47	0	 1051.70	   75.73	514	570	  975.97	519	376
ThoKa	38	2	0	  912.03	  200.08	517	569	  711.95	506	367
ThoKa	39	18	0	 1187.91	   51.81	513	569	 1136.10	522	357
ThoKa	40	36	0	 1259.60	  284.59	510	569	  975.01	517	356
ThoKa	41	42	0	  903.47	  327.64	505	568	  575.82	508	371
ThoKa	42	30	0	  979.58	  252.36	523	569	  727.23	522	361
ThoKa	43	6	0	 1084.72	  252.22	514	570	  832.50	512	372
ThoKa	44	2	0	 1064.42	  441.29	519	568	  623.13	515	363
ThoKa	45	7	0	  957.84	  262.83	514	570	  695.01	517	354
ThoKa	46	13	0	 1007.11	  319.08	512	564	  688.03	519	368
ThoKa	47	12	0	 1102.69	  271.44	509	569	  831.26	522	359
ThoKa	48	47	0	  961.97	  289.82	504	568	  672.16	507	365
ThoKa	49	20	0	  964.49	  260.60	517	566	  703.88	521	378
ThoKa	50	12	0	  917.94	  198.04	512	570	  719.90	515	368
ThoKa	51	35	0	 1145.13	  129.04	510	570	 1016.09	511	370
ThoKa	52	11	0	 1272.98	  496.95	504	569	  776.03	527	364
ThoKa	53	38	0	 1190.01	  340.66	514	570	  849.35	511	353
ThoKa	54	8	0	  837.92	  246.44	512	567	  591.48	511	368
ThoKa	55	39	0	 1027.51	  219.65	512	570	  807.86	512	367
ThoKa	56	32	0	 1042.07	  306.90	515	564	  735.17	513	367
ThoKa	57	22	0	 1097.43	  320.25	513	562	  777.18	509	360
ThoKa	58	27	0	 1252.01	  356.97	515	570	  895.04	513	362
ThoKa	59	25	0	  945.41	  264.58	512	567	  680.84	513	364
ThoKa	60	37	0	 1100.72	  347.12	513	566	  753.60	524	364
ThoKa	61	5	0	 1102.56	  334.64	510	565	  767.93	509	365
ThoKa	62	29	0	 1009.75	   49.82	511	570	  959.93	511	361
ThoKa	63	44	0	 1329.69	  562.35	611	563	  767.34	520	358
ThoKa	64	1	0	  939.97	   60.51	510	570	  879.46	512	371
ThoKa	65	8	0	 1190.21	  255.49	512	566	  934.72	507	359
ThoKa	66	24	1	 1475.12	  271.21	513	569	 1203.92	0	0
ThoKa	67	4	0	  917.96	  223.30	516	570	  694.66	514	357
ThoKa	68	4	0	  693.76	  197.81	513	570	  495.96	508	361
ThoKa	69	34	0	  707.03	   26.73	508	568	  680.29	513	382
ThoKa	70	20	0	  638.23	   13.87	510	570	  624.36	515	374
ThoKa	71	34	0	  692.97	  253.13	511	565	  439.84	514	363
ThoKa	72	3	0	  800.65	  265.05	515	568	  535.60	510	374
ThoKa	73	31	0	 1095.99	  321.69	513	568	  774.30	518	358
ThoKa	74	23	0	  956.43	  268.84	510	568	  687.60	509	353
ThoKa	75	1	0	  709.18	  238.19	512	562	  470.98	512	378
ThoKa	76	16	0	 1019.25	  121.62	511	570	  897.63	512	356
ThoKa	77	36	0	  887.89	  297.08	513	566	  590.82	520	380
ThoKa	78	33	0	 1028.26	  252.79	509	569	  775.47	519	370
ThoKa	79	7	0	  860.31	  219.15	514	563	  641.16	510	370
ThoKa	80	48	0	  808.86	  240.55	511	570	  568.31	512	369
ThoKa	81	14	0	  840.40	  218.60	510	567	  621.80	527	373
ThoKa	82	44	0	  878.55	    0.83	511	548	  877.73	516	370
ThoKa	83	40	0	  891.03	  219.46	509	563	  671.56	516	353
ThoKa	84	23	0	  830.85	  286.39	508	563	  544.46	513	374
ThoKa	85	45	0	  928.27	  449.48	516	568	  478.80	519	357
ThoKa	86	26	0	  915.92	  251.14	515	568	  664.78	521	365
ThoKa	87	18	0	  838.29	  269.03	516	567	  569.26	519	361
ThoKa	88	30	0	  884.82	  275.87	508	570	  608.96	508	363
ThoKa	89	19	0	  985.38	  319.50	512	565	  665.88	511	371
ThoKa	90	3	0	  937.23	  217.63	514	566	  719.60	510	362
ThoKa	91	41	0	  939.37	  218.96	512	569	  720.41	523	358
ThoKa	92	9	0	  902.25	  246.67	520	568	  655.58	517	367
ThoKa	93	37	0	  992.71	  265.78	512	569	  726.93	513	372
ThoKa	94	39	0	  890.36	  417.92	511	567	  472.44	517	354
ThoKa	95	22	0	  862.08	  205.52	511	569	  656.56	514	364
ThoKa	96	43	0	  954.38	  267.14	511	564	  687.24	515	365
