ID	trialnr	pic_nr	timeover	RT_total	RT_planung	control_planning_x	control_planning_y	RT_movement	posx	posy
JulSc	1	8	0	  977.11	  265.30	515	567	  711.82	494	365
JulSc	2	41	0	 1258.85	  436.02	531	554	  822.82	495	355
JulSc	3	38	0	  993.40	  424.21	526	563	  569.19	504	357
JulSc	4	15	0	 1192.84	  378.19	546	564	  814.65	502	357
JulSc	5	5	0	 1210.81	  442.23	507	567	  768.58	497	361
JulSc	6	11	0	 1337.85	  385.85	509	569	  952.00	499	356
JulSc	7	1	0	 1010.41	  330.47	510	561	  679.94	488	359
JulSc	8	37	0	 1164.59	  300.55	511	569	  864.04	497	360
JulSc	9	7	0	 1252.18	  308.98	511	565	  943.21	500	363
JulSc	10	18	0	 1106.25	  281.83	509	565	  824.42	498	358
JulSc	11	4	0	 1260.00	  309.31	513	568	  950.70	491	365
JulSc	12	42	0	 1226.99	  313.48	510	566	  913.51	490	357
JulSc	13	27	0	 1288.17	  416.91	530	559	  871.25	502	357
JulSc	14	41	0	  997.63	  348.97	511	570	  648.67	492	365
JulSc	15	30	0	  843.93	  284.35	504	565	  559.58	498	356
JulSc	16	36	0	 1164.34	  306.88	510	569	  857.46	495	367
JulSc	17	40	0	 1139.83	  324.17	509	568	  815.66	495	353
JulSc	18	33	0	 1118.39	  279.46	513	569	  838.93	494	352
JulSc	19	22	0	 1265.48	  417.73	517	568	  847.75	505	357
JulSc	20	35	0	  914.69	  359.02	503	551	  555.67	499	368
JulSc	21	1	0	 1153.66	  298.71	509	566	  854.95	495	358
JulSc	22	19	0	  931.09	  252.80	502	566	  678.30	494	354
JulSc	23	12	0	 1055.63	  270.93	524	564	  784.71	510	356
JulSc	24	3	0	 1284.71	  284.61	510	570	 1000.10	493	358
JulSc	25	20	0	 1457.47	  346.19	508	559	 1111.28	498	354
JulSc	26	30	0	 1205.42	  285.46	509	567	  919.96	494	358
JulSc	27	46	0	 1076.23	  260.38	512	569	  815.85	500	364
JulSc	28	16	0	 1218.29	  266.64	510	570	  951.65	506	359
JulSc	29	48	1	 1475.60	  304.92	512	569	 1170.68	0	0
JulSc	30	7	0	  952.82	  265.72	532	564	  687.11	495	355
JulSc	31	27	0	 1307.71	  187.85	513	568	 1119.86	505	356
JulSc	32	28	0	  959.14	  197.91	524	567	  761.23	494	355
JulSc	33	32	0	 1240.89	  256.25	512	569	  984.64	502	359
JulSc	34	32	1	 1475.22	  314.78	512	566	 1160.43	0	0
JulSc	35	29	0	 1220.56	  285.74	517	568	  934.82	509	361
JulSc	36	13	0	 1123.30	  234.40	520	569	  888.90	507	358
JulSc	37	25	0	  998.33	  133.87	514	569	  864.45	499	353
JulSc	38	40	0	 1039.54	  294.96	516	569	  744.58	499	360
JulSc	39	6	0	 1205.29	  277.27	513	570	  928.02	492	361
JulSc	40	17	0	  917.69	  108.13	515	570	  809.56	507	355
JulSc	41	14	0	 1088.31	  319.40	514	567	  768.91	509	354
JulSc	42	12	0	 1245.41	  237.63	517	570	 1007.78	505	359
JulSc	43	46	0	 1002.59	  306.35	509	569	  696.24	495	357
JulSc	44	35	0	 1131.91	  202.49	512	568	  929.42	504	362
JulSc	45	3	0	 1429.10	  269.45	510	563	 1159.65	495	361
JulSc	46	11	0	 1172.56	  205.00	527	568	  967.56	504	352
JulSc	47	34	0	 1204.73	  108.15	522	570	 1096.59	508	356
JulSc	48	28	1	 1475.37	  347.16	539	565	 1128.20	0	0
JulSc	49	9	0	 1141.88	  245.85	509	567	  896.03	511	355
JulSc	50	10	0	 1040.46	  208.03	523	570	  832.42	505	359
JulSc	51	45	1	 1475.40	  386.83	554	557	 1088.57	0	0
JulSc	52	47	0	 1291.82	  226.10	521	567	 1065.72	512	357
JulSc	53	25	0	  982.31	  136.12	512	568	  846.19	503	362
JulSc	54	16	0	 1096.50	  231.16	507	565	  865.35	509	363
JulSc	55	23	0	 1180.34	  301.18	506	567	  879.16	514	361
JulSc	56	44	0	 1165.91	  268.66	509	568	  897.25	510	361
JulSc	57	2	0	 1221.50	  254.38	518	569	  967.13	502	357
JulSc	58	21	0	 1349.21	  308.73	510	570	 1040.49	500	359
JulSc	59	45	0	 1001.21	  219.00	509	570	  782.21	512	359
JulSc	60	38	0	  952.70	  241.37	505	568	  711.34	510	355
JulSc	61	15	0	  988.13	  243.91	522	567	  744.22	509	363
JulSc	62	36	0	 1332.27	  275.39	508	566	 1056.88	508	357
JulSc	63	4	0	 1006.85	  206.99	522	570	  799.86	504	361
JulSc	64	21	0	 1447.31	  245.95	509	564	 1201.36	515	353
JulSc	65	19	0	 1443.17	  308.86	514	569	 1134.32	514	357
JulSc	66	24	0	 1321.63	  208.85	504	568	 1112.78	500	353
JulSc	67	22	0	 1170.14	  258.33	510	567	  911.81	516	356
JulSc	68	8	1	 1475.31	  291.79	505	569	 1183.52	0	0
JulSc	69	6	0	  996.48	  171.21	516	567	  825.27	508	357
JulSc	70	26	1	 1475.12	  301.33	508	565	 1173.79	0	0
JulSc	71	20	0	  926.05	  334.20	533	560	  591.86	502	361
JulSc	72	43	0	 1177.20	  288.53	515	567	  888.67	506	357
JulSc	73	9	0	  937.61	  273.24	514	570	  664.37	511	356
JulSc	74	2	0	 1107.82	  308.81	514	566	  799.01	505	357
JulSc	75	17	0	 1055.46	  328.37	513	569	  727.09	505	357
JulSc	76	13	0	 1007.01	  198.96	523	563	  808.06	508	360
JulSc	77	47	0	 1030.17	  238.47	515	565	  791.70	502	361
JulSc	78	23	0	 1182.17	  221.53	512	569	  960.63	501	357
JulSc	79	24	0	 1039.24	  229.54	515	570	  809.69	507	359
JulSc	80	42	0	 1332.69	  260.34	509	565	 1072.35	517	356
JulSc	81	31	1	 1475.16	  383.70	513	568	 1091.45	0	0
JulSc	82	34	0	 1153.20	  216.67	507	566	  936.54	509	359
JulSc	83	10	0	  938.76	  290.58	513	570	  648.18	517	361
JulSc	84	33	0	 1275.42	  252.01	511	569	 1023.41	502	353
JulSc	85	37	0	 1289.45	  272.80	518	569	 1016.64	510	363
JulSc	86	29	0	 1197.01	  269.73	517	569	  927.28	505	356
JulSc	87	18	1	 1475.21	  294.39	519	568	 1180.82	0	0
JulSc	88	48	0	  982.82	  263.55	506	567	  719.26	527	353
JulSc	89	31	0	  879.77	   47.69	504	570	  832.08	508	351
JulSc	90	14	0	  939.17	  204.17	504	569	  735.00	512	360
JulSc	91	5	0	 1055.03	  294.93	505	567	  760.10	499	349
JulSc	92	39	0	 1420.71	  276.22	511	566	 1144.49	515	358
JulSc	93	43	0	  986.26	  242.05	506	565	  744.21	513	357
JulSc	94	39	0	  979.54	    0.79	505	559	  978.74	508	358
JulSc	95	44	0	 1036.26	  228.06	510	570	  808.19	500	364
JulSc	96	26	0	  844.04	   91.76	514	570	  752.29	519	357
